"Sample ID","Type","Conc","WL650.0","Comments"
"MBK","Unknown",-0.0105,-0.0002,""
"FBK(LG积疙)","Unknown",-0.0099,-0.0001,""
"FBK(LG侩己)","Unknown",-0.0097,-0.0000,""
"LG积疙1","Unknown",0.3846,0.0804,""
"LG积疙2","Unknown",0.1397,0.0304,""
"LG侩己3","Unknown",0.8019,0.1656,""
"LG侩己4","Unknown",1.3581,0.2791,""
"LG侩己7","Unknown",1.1086,0.2282,""
"LG侩己8","Unknown",0.7022,0.1452,""
"CCV(ST3, 0.8mg/L)","Unknown",0.7946,0.1641,""
