"Sample ID","Type","Conc","WL650.0","Comments"
"MBK","Unknown",-0.0012,-0.0010,""
"FBK(화치)","Unknown",-0.0003,-0.0008,""
"실트론1","Unknown",0.0289,0.0052,""
"실트론2","Unknown",0.0274,0.0049,""
"실트론3","Unknown",0.0404,0.0075,""
"실트론4","Unknown",0.0376,0.0069,""
"화치1","Unknown",0.2176,0.0435,""
"화치2","Unknown",0.0361,0.0066,""
"화치3","Unknown",0.0553,0.0105,""
"화치4","Unknown",0.0674,0.0130,""
"CCV(ST3, 0.8mg/L)","Unknown",0.8030,0.1625,""
