"Sample ID","Type","Conc","WL650.0","Comments"
"MBK","Unknown",-0.0099,-0.0005,""
"FBK(利樊)","Unknown",-0.0099,-0.0005,""
"利樊 1","Unknown",0.6356,0.1344,""
"利樊 2 ","Unknown",0.7532,0.1590,""
"利樊 3","Unknown",0.0133,0.0043,""
"利樊 4","Unknown",0.0085,0.0033,""
"利樊 5","Unknown",0.0187,0.0054,""
"利樊 6","Unknown",0.1779,0.0387,""
"利樊 7","Unknown",0.1937,0.0420,""
"利樊 8","Unknown",0.3328,0.0711,""
"CCV(ST4, 0.40mg/L)","Unknown",0.3955,0.0842,""
