Category,Analyte,Parts,DecimalPlaces,unit,ES,Method,instrument
휘발성유기화합물,염화비닐,특정32종,3,㎎/L,ES 04602.1b,헤드스페이스/기체크로마토그래피-질량분석법,GC/GC-MS / 8890GC(G3540A) / 5977B(G7077B) / CN2102A013 / US2105M015
휘발성유기화합물,브로모포름,특정32종,3,㎎/L,ES 04602.1b,헤드스페이스/기체크로마토그래피-질량분석법,GC/GC-MS / 8890GC(G3540A) / 5977B(G7077B) / CN2102A013 / US2105M015
휘발성유기화합물,"1,1-다이클로로에틸렌",특정32종,3,㎎/L,ES 04603.2b,헤드스페이스/기체크로마토그래피-질량분석법(내부표준법),GC/GC-MS / 8890GC(G3540A) / 5977B(G7077B) / CN2102A013 / US2105M015
휘발성유기화합물,다이클로로메탄,특정32종,3,㎎/L,ES 04603.2b,헤드스페이스/기체크로마토그래피-질량분석법(내부표준법),GC/GC-MS / 8890GC(G3540A) / 5977B(G7077B) / CN2102A013 / US2105M015
휘발성유기화합물,클로로폼,특정32종,3,㎎/L,ES 04603.2b,헤드스페이스/기체크로마토그래피-질량분석법(내부표준법),GC/GC-MS / 8890GC(G3540A) / 5977B(G7077B) / CN2102A013 / US2105M015
휘발성유기화합물,"1,2-다이클로로에탄",특정32종,3,㎎/L,ES 04603.2b,헤드스페이스/기체크로마토그래피-질량분석법(내부표준법),GC/GC-MS / 8890GC(G3540A) / 5977B(G7077B) / CN2102A013 / US2105M015
휘발성유기화합물,벤젠,특정32종,3,㎎/L,ES 04603.2b,헤드스페이스/기체크로마토그래피-질량분석법(내부표준법),GC/GC-MS / 8890GC(G3540A) / 5977B(G7077B) / CN2102A013 / US2105M015
휘발성유기화합물,사염화탄소,특정32종,3,㎎/L,ES 04603.2b,헤드스페이스/기체크로마토그래피-질량분석법(내부표준법),GC/GC-MS / 8890GC(G3540A) / 5977B(G7077B) / CN2102A013 / US2105M015
휘발성유기화합물,트리클로로에틸렌,특정32종,3,㎎/L,ES 04603.2b,헤드스페이스/기체크로마토그래피-질량분석법(내부표준법),GC/GC-MS / 8890GC(G3540A) / 5977B(G7077B) / CN2102A013 / US2105M015
휘발성유기화합물,톨루엔,수질오염물질,3,㎎/L,ES 04603.2b,헤드스페이스/기체크로마토그래피-질량분석법(내부표준법),GC/GC-MS / 8890GC(G3540A) / 5977B(G7077B) / CN2102A013 / US2105M015
휘발성유기화합물,테트라클로로에틸렌,특정32종,3,㎎/L,ES 04603.2b,헤드스페이스/기체크로마토그래피-질량분석법(내부표준법),GC/GC-MS / 8890GC(G3540A) / 5977B(G7077B) / CN2102A013 / US2105M015
휘발성유기화합물,자일렌,수질오염물질,3,㎎/L,ES 04603.2b,헤드스페이스/기체크로마토그래피-질량분석법(내부표준법),GC/GC-MS / 8890GC(G3540A) / 5977B(G7077B) / CN2102A013 / US2105M015
휘발성유기화합물,폼알데하이드,특정32종,3,㎎/L,ES 04605.3,헤드스페이스/기체크로마토그래피-질량분석법,GC / GC-MS / 7890A / 5975C / US10719001/US71246037
휘발성유기화합물,나프탈렌,특정32종,3,㎎/L,ES 04607.1,헤드스페이스/기체크로마토그래피-질량분석법,GC/GC-MS / 8890GC(G3540A) / 5977B(G7077B) / CN2102A013 / US2105M015
휘발성유기화합물,아크릴아미드,특정32종,3,㎎/L,ES 04609.1,기체크로마토그래피-질량분석법,GC / GC-MS / 7890A / 5975C / US10719001/US71246037
휘발성유기화합물,에피클로로하이드린,특정32종,3,㎎/L,ES 04608.1,용매추출/기체크로마토그래피-질량분석법(내부표준법),GC/GC-MS / 8890GC(G3540A) / 5977B(G7077B) / CN2102A013 / US2105M015
휘발성유기화합물,스타이렌,특정32종,3,㎎/L,ES 04610.1,헤드스페이스/기체크로마토그래피-질량분석법,GC/GC-MS / 8890GC(G3540A) / 5977B(G7077B) / CN2102A013 / US2105M015
휘발성유기화합물,페놀,특정32종,3,㎎/L,ES 04611.1,용매추출/기체크로마토그래피-질량분석법,GC / GC-MS / 7890A / 5975C / US10719001/US71246037
휘발성유기화합물,펜타클로로페놀,특정32종,3,㎎/L,ES 04612.1,용매추출/기체크로마토그래피-질량분석법,GC / GC-MS / 7890A / 5975C / US10719001/US71246037
생물류,총대장균군,수질오염물질,0,군수/mL,ES 04701.3f/5a,평판집락법,대장균배양기 / C-IND3 / 130726
생물류,생태독성,수질오염물질,1,TU,ES 04704.1c,물벼룩을 이용한 급성 독성 시험법,INCUBATOR / HST-103L / 090929-01
현장측정,현장측정 및 시료채취,,0,,ES 04130.1f,,
