Batch Data Path,"D:\DATA\2026년\2. 2026년 2월\VOC3(HC 1.27, YS 1.27,28, HJ 1.28)\QuantResults\VOC3.batch.bin"
Analysis Time,2026-02-04 오후 3:00:32,Analyst Name,DESKTOP-N82KMQD\수질분석센터 GC2,Report Generator Name,DESKTOP-N82KMQD\수질분석센터 GC2
Calibration Last Update,2026-02-04 오후 3:00:32,Analyze Quant Version,10.2,Report Quant Version,10.2
Vinylchloride
Data File,,Type,RT,,Resp.,,ISTD Resp,,Final Conc.
VOC3 ST-01.D,,Cal,4.831,,1159,,1580,,0.006
VOC3 ST-02.D,,Cal,4.831,,1761,,1030,,0.010
VOC3 ST-03.D,,Cal,4.831,,14605,,1350,,0.049
VOC3 ST-04.D,,Cal,4.831,,29584,,1323,,0.098
VOC3 ST-05.D,,Cal,4.831,,54745,,1150,,0.205
VOC3 ST-06.D,,Cal,4.831,,117754,,1267,,0.398
BK-.D,,Blank,,,,,1609,,ND
FBK(YS 26-01-27).D,,Blank,,,,,1732,,ND
FBK(YS 26-01-28).D,,Blank,,,,,1695,,ND
FBK(HJ 26-01-28).D,,Blank,,,,,1633,,ND
HC 26-01-27.D,,Sample,,,,,1672,,ND
MBK-1.D,,Blank,,,,,1528,,ND
-CCV-1.D,,QC,4.831,,65129,,1680,,0.168
YS-01.D,,Sample,,,,,2099,,ND
YS-02.D,,Sample,,,,,2175,,ND
YS-03.D,,Sample,,,,,2213,,ND
YS-04.D,,Sample,,,,,2074,,ND
YS-05.D,,Sample,,,,,1776,,ND
YS-06.D,,Sample,,,,,1913,,ND
YS-07.D,,Sample,,,,,2200,,ND
YS-08.D,,Sample,,,,,2234,,ND
YS-09.D,,Sample,,,,,2393,,ND
YS-10.D,,Sample,,,,,1811,,ND
YS-11.D,,Sample,,,,,1784,,ND
YS-12.D,,Sample,,,,,2003,,ND
YS-13.D,,Sample,,,,,1961,,ND
YS-14.D,,Sample,,,,,1737,,ND
YS-15.D,,Sample,,,,,1438,,ND
YS-16.D,,Sample,,,,,1913,,ND
YS-17.D,,Sample,,,,,1874,,ND
YS-18.D,,Sample,,,,,1892,,ND
MBK-2.D,,Blank,,,,,1619,,ND
