Batch Data Path,"D:\DATA\2026년\1. 2026년 1월\VOC3(HC 1.22, 1.26)\QuantResults\VOC3.batch.bin"
Analysis Time,2026-02-02 오후 3:22:38,Analyst Name,DESKTOP-N82KMQD\수질분석센터 GC2,Report Generator Name,DESKTOP-N82KMQD\수질분석센터 GC2
Calibration Last Update,2026-02-02 오후 3:22:38,Analyze Quant Version,10.2,Report Quant Version,10.2
Vinylchloride
Data File,,Type,RT,,Resp.,,ISTD Resp,,Final Conc.
HC-27.D,,Sample,6.511,,2357140,,1001,,125.481
HC-28.D,,Sample,6.511,,2230731,,1858,,63.955
HC-29.D,,Sample,6.511,,1825,,1377,,0.069
HC-30.D,,Sample,6.511,,2411,,1218,,0.103
MBK-2.D,,Blank,,,,,1407,,ND
-CCV-2.D,,QC,6.511,,3029,,1042,,0.153
GM-01.D,,Sample,6.511,,0,,1366,,ND
GM-02.D,,Sample,,,,,1240,,ND
GM-03.D,,Sample,,,,,1189,,ND
GM-04.D,,Sample,,,,,1223,,ND
HC-26 R.D,,Sample,6.511,,2053,,865,,62.216
HC-27 R.D,,Sample,6.511,,2249,,941,,125.382
HC-28 R.D,,Sample,6.511,,1921,,901,,55.759
MBK-3.D,,Blank,,,,,836,,ND
CCV-3.D,,QC,6.511,,3176,,1075,,0.155
Bromoform
Data File,,Type,RT,,Resp.,,ISTD Resp,,Final Conc.
VOC3 ST-01.D,,Cal,12.489,,733,,1302,,0.002
VOC3 ST-02.D,,Cal,12.489,,909,,1277,,0.005
VOC3 ST-03.D,,Cal,12.489,,3975,,1093,,0.053
VOC3 ST-04.D,,Cal,12.489,,7669,,1103,,0.107
VOC3 ST-05.D,,Cal,12.492,,17379,,1851,,0.147
VOC3 ST-06.D,,Cal,12.492,,29928,,1214,,0.398
BK-.D,,Blank,,,,,1122,,ND
FBK(HC 26-01-22).D,,Blank,,,,,943,,ND
FBK(HC 26-01-26).D,,Blank,,,,,1040,,ND
FBK(HC 26-01-26 ) .D,,Blank,,,,,943,,ND
LDPE 26-01-26.D,,Sample,,,,,871,,ND
HC 26-01-26.D,,Sample,,,,,794,,ND
HC-01.D,,Sample,,,,,806,,ND
HC-02.D,,Sample,,,,,1083,,ND
HC-03.D,,Sample,,,,,927,,ND
HC-04.D,,Sample,,,,,778,,ND
HC-05.D,,Sample,12.495,,0,,829,,ND
HC-06.D,,Sample,,,,,822,,ND
HC-07.D,,Sample,,,,,894,,ND
HC-08.D,,Sample,,,,,825,,ND
