"FBK(LG³ªÁÖ) - RawData"
"Wavelength nm.","T%"
455.10,100.3448
455.20,100.3372
455.30,100.3326
455.40,100.3311
455.50,100.3357
455.60,100.3403
455.70,100.3433
455.80,100.3464
455.90,100.3510
456.00,100.3525
456.10,100.3540
456.20,100.3586
456.30,100.3571
456.40,100.3586
456.50,100.3586
456.60,100.3555
456.70,100.3525
456.80,100.3555
456.90,100.3571
457.00,100.3555
457.10,100.3540
457.20,100.3555
457.30,100.3540
457.40,100.3510
457.50,100.3525
457.60,100.3555
457.70,100.3571
457.80,100.3586
457.90,100.3555
458.00,100.3540
458.10,100.3571
458.20,100.3555
458.30,100.3510
458.40,100.3494
458.50,100.3494
458.60,100.3525
458.70,100.3494
458.80,100.3525
458.90,100.3555
459.00,100.3540
459.10,100.3555
459.20,100.3479
459.30,100.3433
459.40,100.3464
459.50,100.3464
459.60,100.3418
459.70,100.3433
459.80,100.3418
459.90,100.3372
460.00,100.3281
460.10,100.3296
460.20,100.3326
460.30,100.3342
460.40,100.3403
460.50,100.3464
460.60,100.3571
460.70,100.3601
460.80,100.3632
460.90,100.3677
461.00,100.3754
461.10,100.3769
461.20,100.3754
461.30,100.3754
461.40,100.3769
461.50,100.3723
461.60,100.3723
461.70,100.3738
461.80,100.3677
461.90,100.3662
462.00,100.3754
462.10,100.3723
462.20,100.3708
462.30,100.3708
462.40,100.3738
462.50,100.3754
462.60,100.3754
462.70,100.3723
462.80,100.3738
462.90,100.3738
463.00,100.3723
463.10,100.3647
463.20,100.3540
463.30,100.3510
463.40,100.3448
463.50,100.3387
463.60,100.3342
463.70,100.3372
463.80,100.3418
463.90,100.3372
464.00,100.3357
464.10,100.3311
464.20,100.3296
464.30,100.3296
464.40,100.3311
464.50,100.3372
464.60,100.3479
464.70,100.3601
464.80,100.3693
464.90,100.3769
465.00,100.3815
465.10,100.3860
465.20,100.3815
465.30,100.3769
465.40,100.3708
465.50,100.3647
465.60,100.3571
465.70,100.3510
465.80,100.3479
465.90,100.3525
466.00,100.3525
