"LG³ªÁÖ2 - RawData"
"Wavelength nm.","T%"
455.10,64.3311
455.20,64.3494
455.30,64.3707
455.40,64.3875
455.50,64.4089
455.60,64.4287
455.70,64.4531
455.80,64.4699
455.90,64.4852
456.00,64.5020
456.10,64.5172
456.20,64.5309
456.30,64.5447
456.40,64.5630
456.50,64.5844
456.60,64.5996
456.70,64.6179
456.80,64.6378
456.90,64.6530
457.00,64.6698
457.10,64.6896
457.20,64.7049
457.30,64.7232
457.40,64.7430
457.50,64.7644
457.60,64.7842
457.70,64.8071
457.80,64.8315
457.90,64.8499
458.00,64.8666
458.10,64.8834
458.20,64.8956
458.30,64.9033
458.40,64.9170
458.50,64.9338
458.60,64.9506
458.70,64.9643
458.80,64.9841
458.90,65.0055
459.00,65.0223
459.10,65.0375
459.20,65.0543
459.30,65.0696
459.40,65.0848
459.50,65.0986
459.60,65.1138
459.70,65.1260
459.80,65.1428
459.90,65.1581
460.00,65.1703
460.10,65.1932
460.20,65.2100
460.30,65.2283
460.40,65.2466
460.50,65.2695
460.60,65.2847
460.70,65.2985
460.80,65.3198
460.90,65.3397
461.00,65.3610
461.10,65.3809
461.20,65.4022
461.30,65.4221
461.40,65.4388
461.50,65.4541
461.60,65.4724
461.70,65.4922
461.80,65.5060
461.90,65.5212
462.00,65.5426
462.10,65.5579
462.20,65.5731
462.30,65.5914
462.40,65.6113
462.50,65.6281
462.60,65.6433
462.70,65.6570
462.80,65.6708
462.90,65.6860
463.00,65.7013
463.10,65.7120
463.20,65.7242
463.30,65.7379
463.40,65.7486
463.50,65.7608
463.60,65.7730
463.70,65.7898
463.80,65.8081
463.90,65.8234
464.00,65.8417
464.10,65.8600
464.20,65.8752
464.30,65.8981
464.40,65.9180
464.50,65.9393
464.60,65.9607
464.70,65.9866
464.80,66.0065
464.90,66.0248
465.00,66.0416
465.10,66.0568
465.20,66.0721
465.30,66.0889
465.40,66.1011
465.50,66.1179
465.60,66.1316
465.70,66.1423
465.80,66.1560
465.90,66.1743
466.00,66.1865
466.10,66.2033
466.20,66.2247
466.30,66.2460
466.40,66.2643
466.50,66.2842
466.60,66.3040
466.70,66.3208
466.80,66.3361
466.90,66.3513
467.00,66.3635
467.10,66.3742
467.20,66.3864
467.30,66.3971
467.40,66.4108
467.50,66.4261
467.60,66.4398
467.70,66.4566
467.80,66.4734
467.90,66.4886
468.00,66.5039
468.10,66.5192
468.20,66.5314
468.30,66.5466
468.40,66.5588
468.50,66.5741
468.60,66.5894
468.70,66.6046
468.80,66.6214
468.90,66.6443
469.00,66.6611
469.10,66.6763
469.20,66.6916
469.30,66.7099
469.40,66.7267
469.50,66.7419
469.60,66.7603
469.70,66.7770
469.80,66.7938
469.90,66.8091
470.00,66.8228
470.10,66.8396
470.20,66.8549
470.30,66.8732
470.40,66.8869
470.50,66.9022
470.60,66.9144
470.70,66.9281
470.80,66.9388
470.90,66.9540
471.00,66.9708
471.10,66.9891
471.20,67.0013
471.30,67.0181
471.40,67.0334
471.50,67.0471
471.60,67.0624
471.70,67.0792
471.80,67.1005
471.90,67.1204
472.00,67.1402
472.10,67.1600
472.20,67.1738
472.30,67.1875
472.40,67.2028
472.50,67.2180
472.60,67.2318
472.70,67.2485
472.80,67.2653
472.90,67.2821
473.00,67.2943
473.10,67.3096
473.20,67.3264
473.30,67.3447
473.40,67.3630
473.50,67.3798
473.60,67.3935
473.70,67.4088
473.80,67.4194
473.90,67.4286
474.00,67.4408
474.10,67.4561
474.20,67.4744
474.30,67.4896
474.40,67.5034
474.50,67.5186
474.60,67.5354
474.70,67.5491
474.80,67.5659
474.90,67.5827
475.00,67.6010
475.10,67.6163
475.20,67.6346
475.30,67.6559
475.40,67.6758
475.50,67.6956
475.60,67.7185
475.70,67.7338
475.80,67.7505
475.90,67.7673
476.00,67.7856
476.10,67.8024
476.20,67.8177
476.30,67.8299
476.40,67.8391
476.50,67.8513
476.60,67.8635
476.70,67.8802
476.80,67.8970
476.90,67.9169
477.00,67.9321
477.10,67.9474
477.20,67.9611
477.30,67.9779
477.40,67.9901
477.50,68.0054
477.60,68.0176
477.70,68.0298
477.80,68.0405
477.90,68.0511
478.00,68.0634
478.10,68.0786
478.20,68.1000
478.30,68.1183
478.40,68.1351
478.50,68.1549
478.60,68.1747
478.70,68.1931
478.80,68.2068
478.90,68.2236
479.00,68.2373
479.10,68.2495
479.20,68.2587
479.30,68.2693
479.40,68.2816
479.50,68.2938
479.60,68.3060
479.70,68.3212
479.80,68.3395
479.90,68.3548
480.00,68.3701
480.10,68.3853
480.20,68.4021
480.30,68.4143
480.40,68.4235
480.50,68.4357
480.60,68.4509
480.70,68.4662
480.80,68.4830
480.90,68.5013
481.00,68.5211
481.10,68.5364
481.20,68.5547
481.30,68.5699
481.40,68.5898
481.50,68.6035
481.60,68.6172
481.70,68.6295
481.80,68.6417
481.90,68.6493
482.00,68.6615
482.10,68.6752
482.20,68.6935
482.30,68.7134
482.40,68.7347
482.50,68.7561
482.60,68.7744
482.70,68.7897
482.80,68.8080
482.90,68.8232
483.00,68.8385
483.10,68.8522
483.20,68.8644
483.30,68.8751
483.40,68.8843
483.50,68.8980
483.60,68.9102
483.70,68.9224
483.80,68.9438
483.90,68.9590
484.00,68.9743
484.10,68.9941
484.20,69.0125
484.30,69.0262
484.40,69.0384
484.50,69.0598
484.60,69.0750
484.70,69.0872
484.80,69.1025
484.90,69.1193
485.00,69.1330
485.10,69.1483
485.20,69.1666
485.30,69.1788
485.40,69.1956
485.50,69.2108
485.60,69.2215
485.70,69.2322
485.80,69.2505
485.90,69.2642
486.00,69.2810
486.10,69.2963
486.20,69.3115
486.30,69.3298
486.40,69.3466
486.50,69.3649
486.60,69.3787
486.70,69.3939
486.80,69.4107
486.90,69.4214
487.00,69.4321
487.10,69.4458
487.20,69.4595
487.30,69.4702
487.40,69.4809
487.50,69.4977
487.60,69.5099
487.70,69.5251
487.80,69.5389
487.90,69.5587
488.00,69.5755
488.10,69.5938
488.20,69.6075
488.30,69.6182
488.40,69.6320
488.50,69.6457
488.60,69.6594
488.70,69.6777
488.80,69.7006
488.90,69.7205
489.00,69.7388
489.10,69.7540
489.20,69.7693
489.30,69.7845
489.40,69.7968
489.50,69.8120
489.60,69.8257
489.70,69.8395
489.80,69.8471
489.90,69.8593
490.00,69.8746
490.10,69.8868
490.20,69.8990
490.30,69.9112
490.40,69.9265
490.50,69.9371
490.60,69.9463
490.70,69.9631
490.80,69.9814
490.90,69.9982
491.00,70.0134
491.10,70.0302
491.20,70.0455
491.30,70.0546
491.40,70.0699
491.50,70.0851
491.60,70.0989
491.70,70.1141
491.80,70.1309
491.90,70.1447
492.00,70.1599
492.10,70.1752
492.20,70.1889
492.30,70.1996
492.40,70.2118
492.50,70.2209
492.60,70.2316
492.70,70.2408
492.80,70.2560
492.90,70.2698
493.00,70.2850
493.10,70.2972
493.20,70.3110
493.30,70.3247
493.40,70.3354
493.50,70.3476
493.60,70.3613
493.70,70.3751
493.80,70.3903
493.90,70.4056
494.00,70.4239
494.10,70.4361
494.20,70.4514
494.30,70.4666
494.40,70.4773
494.50,70.4910
494.60,70.5063
494.70,70.5231
494.80,70.5383
494.90,70.5536
495.00,70.5704
495.10,70.5826
495.20,70.5978
495.30,70.6085
495.40,70.6238
495.50,70.6360
495.60,70.6497
495.70,70.6635
495.80,70.6802
495.90,70.6924
496.00,70.7077
496.10,70.7214
496.20,70.7321
496.30,70.7397
496.40,70.7596
496.50,70.7764
496.60,70.7901
496.70,70.8054
496.80,70.8267
496.90,70.8405
497.00,70.8496
497.10,70.8664
497.20,70.8786
497.30,70.8908
497.40,70.9030
497.50,70.9167
497.60,70.9290
497.70,70.9412
497.80,70.9564
497.90,70.9702
498.00,70.9854
498.10,71.0037
498.20,71.0190
498.30,71.0342
498.40,71.0480
498.50,71.0587
498.60,71.0663
498.70,71.0739
498.80,71.0815
498.90,71.0892
499.00,71.1029
499.10,71.1151
499.20,71.1288
499.30,71.1411
499.40,71.1548
499.50,71.1685
499.60,71.1761
499.70,71.1868
499.80,71.2021
499.90,71.2173
500.00,71.2296
500.10,71.2463
500.20,71.2616
500.30,71.2708
500.40,71.2784
500.50,71.2891
500.60,71.2982
500.70,71.3074
500.80,71.3196
500.90,71.3287
501.00,71.3394
501.10,71.3531
501.20,71.3623
501.30,71.3715
501.40,71.3821
501.50,71.3989
501.60,71.4142
501.70,71.4264
501.80,71.4432
501.90,71.4615
502.00,71.4752
502.10,71.4859
502.20,71.4996
502.30,71.5118
502.40,71.5210
502.50,71.5332
502.60,71.5500
502.70,71.5607
502.80,71.5698
502.90,71.5790
503.00,71.5927
503.10,71.6034
503.20,71.6141
503.30,71.6293
503.40,71.6446
503.50,71.6599
503.60,71.6751
503.70,71.6858
503.80,71.6980
503.90,71.7133
504.00,71.7239
504.10,71.7331
504.20,71.7407
504.30,71.7545
504.40,71.7621
504.50,71.7712
504.60,71.7819
504.70,71.7926
504.80,71.8033
504.90,71.8094
505.00,71.8185
505.10,71.8307
505.20,71.8430
505.30,71.8536
505.40,71.8658
505.50,71.8781
505.60,71.8872
505.70,71.8964
505.80,71.9055
505.90,71.9177
506.00,71.9299
506.10,71.9406
506.20,71.9528
506.30,71.9650
506.40,71.9772
506.50,71.9879
506.60,72.0001
506.70,72.0123
506.80,72.0215
506.90,72.0306
507.00,72.0428
507.10,72.0535
507.20,72.0657
507.30,72.0795
507.40,72.0963
507.50,72.1100
507.60,72.1237
507.70,72.1405
507.80,72.1558
507.90,72.1680
508.00,72.1832
508.10,72.1954
508.20,72.2092
508.30,72.2198
508.40,72.2290
508.50,72.2366
508.60,72.2443
508.70,72.2534
508.80,72.2610
508.90,72.2733
509.00,72.2870
509.10,72.2992
509.20,72.3145
509.30,72.3297
509.40,72.3434
509.50,72.3572
509.60,72.3724
509.70,72.3862
509.80,72.4014
509.90,72.4121
510.00,72.4213
510.10,72.4289
510.20,72.4335
510.30,72.4396
510.40,72.4487
510.50,72.4625
510.60,72.4747
510.70,72.4838
510.80,72.4960
510.90,72.5021
511.00,72.5067
511.10,72.5128
511.20,72.5189
511.30,72.5311
511.40,72.5433
511.50,72.5571
511.60,72.5708
511.70,72.5845
511.80,72.5967
511.90,72.6074
512.00,72.6196
512.10,72.6318
512.20,72.6425
512.30,72.6547
512.40,72.6608
512.50,72.6730
512.60,72.6807
512.70,72.6883
512.80,72.6974
512.90,72.7081
513.00,72.7203
513.10,72.7310
513.20,72.7432
513.30,72.7570
513.40,72.7707
513.50,72.7814
513.60,72.7966
513.70,72.8088
513.80,72.8195
513.90,72.8271
514.00,72.8394
514.10,72.8470
514.20,72.8531
514.30,72.8653
514.40,72.8806
514.50,72.8943
514.60,72.9065
514.70,72.9187
514.80,72.9309
514.90,72.9370
515.00,72.9492
515.10,72.9584
515.20,72.9660
515.30,72.9782
515.40,72.9858
515.50,72.9950
515.60,73.0011
515.70,73.0087
515.80,73.0179
515.90,73.0270
516.00,73.0377
516.10,73.0515
516.20,73.0667
516.30,73.0774
516.40,73.0896
516.50,73.1033
516.60,73.1125
516.70,73.1232
516.80,73.1354
516.90,73.1445
517.00,73.1537
517.10,73.1644
517.20,73.1766
517.30,73.1903
517.40,73.2040
517.50,73.2193
517.60,73.2376
517.70,73.2529
517.80,73.2620
517.90,73.2681
518.00,73.2742
518.10,73.2803
518.20,73.2864
518.30,73.2956
518.40,73.3047
518.50,73.3170
518.60,73.3276
518.70,73.3368
518.80,73.3444
518.90,73.3536
519.00,73.3627
519.10,73.3719
519.20,73.3826
519.30,73.3932
519.40,73.4009
519.50,73.4100
519.60,73.4222
519.70,73.4375
519.80,73.4482
519.90,73.4619
520.00,73.4756
520.10,73.4879
520.20,73.4985
520.30,73.5077
520.40,73.5168
520.50,73.5275
520.60,73.5382
520.70,73.5474
520.80,73.5565
520.90,73.5657
521.00,73.5764
521.10,73.5855
521.20,73.5947
521.30,73.6053
521.40,73.6191
521.50,73.6282
521.60,73.6404
521.70,73.6511
521.80,73.6618
521.90,73.6740
522.00,73.6832
522.10,73.6893
522.20,73.6969
522.30,73.7076
522.40,73.7137
522.50,73.7213
522.60,73.7320
522.70,73.7411
522.80,73.7503
522.90,73.7610
523.00,73.7717
523.10,73.7823
523.20,73.7946
523.30,73.8022
523.40,73.8113
523.50,73.8190
523.60,73.8297
523.70,73.8358
523.80,73.8434
523.90,73.8510
524.00,73.8617
524.10,73.8724
524.20,73.8815
524.30,73.8922
524.40,73.9059
524.50,73.9197
524.60,73.9288
524.70,73.9410
524.80,73.9563
524.90,73.9670
525.00,73.9731
525.10,73.9807
525.20,73.9899
525.30,73.9975
525.40,74.0082
525.50,74.0173
525.60,74.0356
525.70,74.0524
525.80,74.0662
525.90,74.0768
526.00,74.0906
526.10,74.0997
526.20,74.1043
526.30,74.1119
526.40,74.1241
526.50,74.1333
526.60,74.1470
526.70,74.1608
526.80,74.1730
526.90,74.1852
527.00,74.1928
527.10,74.1959
527.20,74.2020
527.30,74.2081
527.40,74.2142
527.50,74.2249
527.60,74.2401
527.70,74.2538
527.80,74.2661
527.90,74.2767
528.00,74.2828
528.10,74.2905
528.20,74.2981
528.30,74.3042
528.40,74.3134
528.50,74.3271
528.60,74.3393
528.70,74.3454
528.80,74.3561
528.90,74.3652
529.00,74.3744
529.10,74.3820
529.20,74.3912
529.30,74.4019
529.40,74.4095
529.50,74.4186
529.60,74.4247
529.70,74.4370
529.80,74.4476
529.90,74.4583
530.00,74.4690
530.10,74.4812
530.20,74.4949
530.30,74.5056
530.40,74.5163
530.50,74.5270
530.60,74.5361
530.70,74.5468
530.80,74.5560
530.90,74.5651
531.00,74.5773
531.10,74.5911
531.20,74.6048
531.30,74.6170
531.40,74.6307
531.50,74.6384
531.60,74.6460
531.70,74.6521
531.80,74.6597
531.90,74.6674
532.00,74.6750
532.10,74.6857
532.20,74.6948
532.30,74.7055
532.40,74.7177
532.50,74.7284
532.60,74.7360
532.70,74.7452
532.80,74.7559
532.90,74.7650
533.00,74.7757
533.10,74.7849
533.20,74.7971
533.30,74.8077
533.40,74.8169
533.50,74.8260
533.60,74.8322
533.70,74.8428
533.80,74.8520
533.90,74.8566
534.00,74.8627
534.10,74.8688
534.20,74.8764
534.30,74.8856
534.40,74.8962
534.50,74.9130
534.60,74.9283
534.70,74.9435
534.80,74.9527
534.90,74.9619
535.00,74.9741
535.10,74.9847
535.20,74.9969
535.30,75.0137
535.40,75.0320
535.50,75.0473
535.60,75.0626
535.70,75.0732
535.80,75.0824
535.90,75.0946
536.00,75.1068
536.10,75.1144
536.20,75.1190
536.30,75.1297
536.40,75.1266
536.50,75.1266
536.60,75.1221
536.70,75.1205
536.80,75.1236
536.90,75.1328
537.00,75.1358
537.10,75.1419
537.20,75.1511
537.30,75.1617
537.40,75.1648
537.50,75.1694
537.60,75.1770
537.70,75.1862
537.80,75.1953
537.90,75.2029
538.00,75.2106
538.10,75.2213
538.20,75.2319
538.30,75.2426
538.40,75.2533
538.50,75.2686
538.60,75.2792
538.70,75.2914
538.80,75.2975
538.90,75.3021
539.00,75.3082
539.10,75.3204
539.20,75.3296
539.30,75.3403
539.40,75.3525
539.50,75.3662
539.60,75.3754
539.70,75.3830
539.80,75.3906
539.90,75.3983
540.00,75.4044
540.10,75.4105
540.20,75.4181
540.30,75.4227
540.40,75.4288
540.50,75.4395
540.60,75.4486
540.70,75.4578
540.80,75.4684
540.90,75.4761
541.00,75.4837
541.10,75.4913
541.20,75.5005
541.30,75.5081
541.40,75.5173
541.50,75.5325
541.60,75.5417
541.70,75.5508
541.80,75.5615
541.90,75.5707
542.00,75.5768
542.10,75.5814
542.20,75.5905
542.30,75.5966
542.40,75.6073
542.50,75.6180
542.60,75.6287
542.70,75.6363
542.80,75.6454
542.90,75.6607
543.00,75.6744
543.10,75.6912
543.20,75.7065
543.30,75.7202
543.40,75.7324
543.50,75.7370
543.60,75.7401
543.70,75.7416
543.80,75.7462
543.90,75.7477
544.00,75.7523
544.10,75.7599
544.20,75.7706
544.30,75.7813
544.40,75.7904
544.50,75.8026
544.60,75.8133
544.70,75.8209
544.80,75.8286
544.90,75.8362
545.00,75.8438
545.10,75.8514
545.20,75.8606
545.30,75.8713
545.40,75.8804
545.50,75.8896
545.60,75.9003
545.70,75.9094
545.80,75.9171
545.90,75.9232
546.00,75.9323
546.10,75.9415
546.20,75.9491
546.30,75.9552
546.40,75.9628
546.50,75.9720
546.60,75.9781
546.70,75.9857
546.80,75.9918
546.90,75.9995
547.00,76.0056
547.10,76.0132
547.20,76.0208
547.30,76.0300
547.40,76.0361
547.50,76.0437
547.60,76.0544
547.70,76.0651
547.80,76.0773
547.90,76.0895
548.00,76.1047
548.10,76.1169
548.20,76.1246
548.30,76.1322
548.40,76.1368
548.50,76.1429
548.60,76.1505
548.70,76.1597
548.80,76.1688
548.90,76.1780
549.00,76.1887
549.10,76.1948
549.20,76.1993
549.30,76.1993
549.40,76.2024
549.50,76.2070
549.60,76.2100
549.70,76.2177
549.80,76.2299
549.90,76.2436
550.00,76.2527
550.10,76.2634
550.20,76.2726
550.30,76.2772
550.40,76.2833
550.50,76.2863
550.60,76.2894
550.70,76.2939
550.80,76.3000
550.90,76.3077
551.00,76.3184
551.10,76.3321
551.20,76.3458
551.30,76.3550
551.40,76.3657
551.50,76.3718
551.60,76.3779
551.70,76.3870
551.80,76.3977
551.90,76.4114
552.00,76.4267
552.10,76.4420
552.20,76.4542
552.30,76.4664
552.40,76.4786
552.50,76.4862
552.60,76.4938
552.70,76.5045
552.80,76.5152
552.90,76.5182
553.00,76.5259
553.10,76.5350
553.20,76.5396
553.30,76.5411
553.40,76.5442
553.50,76.5533
553.60,76.5533
553.70,76.5533
553.80,76.5579
553.90,76.5686
554.00,76.5762
554.10,76.5839
554.20,76.5961
554.30,76.6083
554.40,76.6174
554.50,76.6266
554.60,76.6373
554.70,76.6464
554.80,76.6510
554.90,76.6571
555.00,76.6647
555.10,76.6708
555.20,76.6830
555.30,76.6953
555.40,76.7136
555.50,76.7273
555.60,76.7365
555.70,76.7456
555.80,76.7578
555.90,76.7670
556.00,76.7731
556.10,76.7838
556.20,76.7960
556.30,76.8036
556.40,76.8097
556.50,76.8204
556.60,76.8326
556.70,76.8417
556.80,76.8478
556.90,76.8616
557.00,76.8692
557.10,76.8799
557.20,76.8875
557.30,76.8951
557.40,76.9012
557.50,76.9058
557.60,76.9104
557.70,76.9165
557.80,76.9257
557.90,76.9348
558.00,76.9470
558.10,76.9592
558.20,76.9684
558.30,76.9775
558.40,76.9867
558.50,76.9913
558.60,76.9974
558.70,77.0004
558.80,77.0065
558.90,77.0142
559.00,77.0218
559.10,77.0325
559.20,77.0432
559.30,77.0554
559.40,77.0676
559.50,77.0798
559.60,77.0889
559.70,77.0996
559.80,77.1103
559.90,77.1225
560.00,77.1317
560.10,77.1393
560.20,77.1500
560.30,77.1606
560.40,77.1698
560.50,77.1790
560.60,77.1866
560.70,77.1957
560.80,77.2003
560.90,77.2064
561.00,77.2125
561.10,77.2202
561.20,77.2324
561.30,77.2400
561.40,77.2507
561.50,77.2614
561.60,77.2705
561.70,77.2766
561.80,77.2812
561.90,77.2903
562.00,77.2949
562.10,77.2980
562.20,77.3071
562.30,77.3148
562.40,77.3239
562.50,77.3346
562.60,77.3499
562.70,77.3590
562.80,77.3666
562.90,77.3773
563.00,77.3819
563.10,77.3865
563.20,77.3926
563.30,77.4002
563.40,77.4063
563.50,77.4155
563.60,77.4261
563.70,77.4338
563.80,77.4429
563.90,77.4490
564.00,77.4536
564.10,77.4567
564.20,77.4658
564.30,77.4734
564.40,77.4765
564.50,77.4826
564.60,77.4933
564.70,77.4994
564.80,77.5040
564.90,77.5101
565.00,77.5208
565.10,77.5299
565.20,77.5345
565.30,77.5497
565.40,77.5620
565.50,77.5772
565.60,77.5864
565.70,77.5970
565.80,77.6108
565.90,77.6184
566.00,77.6276
566.10,77.6352
566.20,77.6474
566.30,77.6581
566.40,77.6688
566.50,77.6779
566.60,77.6886
566.70,77.6962
566.80,77.7039
566.90,77.7100
567.00,77.7206
567.10,77.7252
567.20,77.7313
567.30,77.7420
567.40,77.7542
567.50,77.7664
567.60,77.7802
567.70,77.7924
567.80,77.8091
567.90,77.8229
568.00,77.8290
568.10,77.8366
568.20,77.8427
568.30,77.8519
568.40,77.8534
568.50,77.8595
568.60,77.8687
568.70,77.8793
568.80,77.8900
568.90,77.9007
569.00,77.9099
569.10,77.9190
569.20,77.9266
569.30,77.9327
569.40,77.9373
569.50,77.9465
