"CCV(ST3) - RawData"
"Wavelength nm.","T%"
455.20,63.3575
455.30,63.3575
455.40,63.3545
455.50,63.3575
455.60,63.3591
455.70,63.3606
455.80,63.3591
455.90,63.3591
456.00,63.3575
456.10,63.3545
456.20,63.3530
456.30,63.3530
456.40,63.3545
456.50,63.3530
456.60,63.3530
456.70,63.3545
456.80,63.3575
456.90,63.3606
457.00,63.3682
457.10,63.3743
457.20,63.3820
457.30,63.3850
457.40,63.3881
457.50,63.3896
457.60,63.3957
457.70,63.3972
457.80,63.4018
457.90,63.4064
458.00,63.4140
458.10,63.4186
458.20,63.4201
458.30,63.4262
458.40,63.4323
458.50,63.4384
458.60,63.4491
458.70,63.4552
458.80,63.4659
458.90,63.4705
459.00,63.4781
459.10,63.4827
459.20,63.4918
459.30,63.5040
459.40,63.5101
459.50,63.5223
459.60,63.5345
459.70,63.5391
459.80,63.5452
459.90,63.5544
460.00,63.5651
460.10,63.5742
460.20,63.5910
460.30,63.6063
460.40,63.6200
460.50,63.6368
460.60,63.6520
460.70,63.6673
460.80,63.6826
460.90,63.6978
461.00,63.7115
461.10,63.7283
461.20,63.7436
461.30,63.7589
461.40,63.7711
461.50,63.7863
461.60,63.8031
461.70,63.8184
461.80,63.8306
461.90,63.8458
462.00,63.8641
462.10,63.8779
462.20,63.8947
462.30,63.9114
462.40,63.9297
462.50,63.9481
462.60,63.9679
462.70,63.9847
462.80,64.0015
462.90,64.0182
463.00,64.0350
463.10,64.0488
463.20,64.0656
463.30,64.0823
463.40,64.0991
463.50,64.1144
463.60,64.1327
463.70,64.1479
463.80,64.1647
463.90,64.1815
464.00,64.2029
464.10,64.2212
464.20,64.2410
464.30,64.2654
464.40,64.2914
464.50,64.3173
464.60,64.3448
464.70,64.3768
464.80,64.4028
464.90,64.4302
465.00,64.4547
465.10,64.4745
465.20,64.4958
465.30,64.5157
465.40,64.5340
465.50,64.5523
465.60,64.5737
465.70,64.5935
465.80,64.6118
465.90,64.6347
466.00,64.6622
466.10,64.6851
466.20,64.7095
466.30,64.7369
466.40,64.7659
466.50,64.7888
466.60,64.8117
466.70,64.8376
466.80,64.8590
466.90,64.8819
467.00,64.9033
467.10,64.9216
467.20,64.9460
467.30,64.9704
467.40,64.9918
467.50,65.0146
467.60,65.0406
467.70,65.0620
467.80,65.0833
467.90,65.1077
468.00,65.1321
468.10,65.1535
468.20,65.1810
468.30,65.2054
468.40,65.2283
468.50,65.2542
468.60,65.2832
468.70,65.3152
468.80,65.3442
468.90,65.3748
