"ST4 - RawData"
"Wavelength nm.","T%"
455.20,54.3411
455.30,54.3335
455.40,54.3289
455.50,54.3289
455.60,54.3259
455.70,54.3243
455.80,54.3274
455.90,54.3274
456.00,54.3289
456.10,54.3304
456.20,54.3320
456.30,54.3274
456.40,54.3289
456.50,54.3289
456.60,54.3289
456.70,54.3274
456.80,54.3320
456.90,54.3335
457.00,54.3320
457.10,54.3365
457.20,54.3396
457.30,54.3427
457.40,54.3457
457.50,54.3518
457.60,54.3579
457.70,54.3640
457.80,54.3686
457.90,54.3762
458.00,54.3839
458.10,54.3915
458.20,54.3945
458.30,54.4006
458.40,54.4052
458.50,54.4098
458.60,54.4189
458.70,54.4296
458.80,54.4388
458.90,54.4479
459.00,54.4586
459.10,54.4647
459.20,54.4724
459.30,54.4800
459.40,54.4891
459.50,54.4998
459.60,54.5090
459.70,54.5197
459.80,54.5303
459.90,54.5425
460.00,54.5547
460.10,54.5685
460.20,54.5868
460.30,54.6036
460.40,54.6188
460.50,54.6371
460.60,54.6539
460.70,54.6738
460.80,54.6890
460.90,54.7028
461.00,54.7226
461.10,54.7409
461.20,54.7562
461.30,54.7714
461.40,54.7897
461.50,54.8035
461.60,54.8187
461.70,54.8355
461.80,54.8523
461.90,54.8660
462.00,54.8874
462.10,54.9057
462.20,54.9240
462.30,54.9469
462.40,54.9683
462.50,54.9881
462.60,55.0095
462.70,55.0262
462.80,55.0461
462.90,55.0598
463.00,55.0797
463.10,55.0964
463.20,55.1147
463.30,55.1315
463.40,55.1514
463.50,55.1697
463.60,55.1880
463.70,55.2078
463.80,55.2277
463.90,55.2475
464.00,55.2704
464.10,55.2933
464.20,55.3162
464.30,55.3436
464.40,55.3741
464.50,55.4001
464.60,55.4276
464.70,55.4550
464.80,55.4855
464.90,55.5130
465.00,55.5420
465.10,55.5664
465.20,55.5939
465.30,55.6183
465.40,55.6396
465.50,55.6641
465.60,55.6870
465.70,55.7083
465.80,55.7297
465.90,55.7526
466.00,55.7770
466.10,55.8014
466.20,55.8289
466.30,55.8609
466.40,55.8945
466.50,55.9250
466.60,55.9555
466.70,55.9860
466.80,56.0120
466.90,56.0349
467.00,56.0593
467.10,56.0852
467.20,56.1111
467.30,56.1371
467.40,56.1615
467.50,56.1859
467.60,56.2103
467.70,56.2347
467.80,56.2592
467.90,56.2851
468.00,56.3156
468.10,56.3477
468.20,56.3828
468.30,56.4163
468.40,56.4545
468.50,56.4880
468.60,56.5155
468.70,56.5475
468.80,56.5796
468.90,56.6147
469.00,56.6467
469.10,56.6818
469.20,56.7108
469.30,56.7398
469.40,56.7688
469.50,56.7963
469.60,56.8283
469.70,56.8588
469.80,56.8909
469.90,56.9199
470.00,56.9534
470.10,56.9885
470.20,57.0206
470.30,57.0541
470.40,57.0892
470.50,57.1243
470.60,57.1564
470.70,57.1884
470.80,57.2250
470.90,57.2571
471.00,57.2876
471.10,57.3212
471.20,57.3547
471.30,57.3914
471.40,57.4249
471.50,57.4600
471.60,57.4951
471.70,57.5302
471.80,57.5638
471.90,57.5989
472.00,57.6340
472.10,57.6675
472.20,57.7042
472.30,57.7438
472.40,57.7835
472.50,57.8232
472.60,57.8644
472.70,57.9071
472.80,57.9422
472.90,57.9773
473.00,58.0139
473.10,58.0490
473.20,58.0826
473.30,58.1177
473.40,58.1512
473.50,58.1863
473.60,58.2199
473.70,58.2520
473.80,58.2870
473.90,58.3237
474.00,58.3603
474.10,58.3939
474.20,58.4335
474.30,58.4717
474.40,58.5083
474.50,58.5449
474.60,58.5892
474.70,58.6304
474.80,58.6746
474.90,58.7173
475.00,58.7631
475.10,58.8043
475.20,58.8425
475.30,58.8867
475.40,58.9310
475.50,58.9752
475.60,59.0164
475.70,59.0607
475.80,59.1034
475.90,59.1415
476.00,59.1797
476.10,59.2194
476.20,59.2606
476.30,59.2987
476.40,59.3384
476.50,59.3826
476.60,59.4269
476.70,59.4696
476.80,59.5154
476.90,59.5566
477.00,59.5963
477.10,59.6375
477.20,59.6786
477.30,59.7183
477.40,59.7580
477.50,59.7977
477.60,59.8389
477.70,59.8770
477.80,59.9197
477.90,59.9655
478.00,60.0128
478.10,60.0601
478.20,60.1074
478.30,60.1547
478.40,60.2005
478.50,60.2493
478.60,60.2966
478.70,60.3439
478.80,60.3897
478.90,60.4309
479.00,60.4736
479.10,60.5164
