pdf,es,line,context,amount,unit
ES 04000.e 총칙.pdf,ES 04000,"2.2.1 백분율 (parts per hundred)은 용액 100 mL 중의 성분무게 (g), 또는 기체","2.2 농도 표시 2.2.1 백분율 (parts per hundred)은 용액 100 mL 중의 성분무게 (g), 또는 기체 100 mL 중의 성분무게(g)를 표시할 때는 w/v %, 용액 100 mL 중의 성분용량",100,mL
ES 04000.e 총칙.pdf,ES 04000,"100 mL 중의 성분무게(g)를 표시할 때는 w/v %, 용액 100 mL 중의 성분용량","2.2.1 백분율 (parts per hundred)은 용액 100 mL 중의 성분무게 (g), 또는 기체 100 mL 중의 성분무게(g)를 표시할 때는 w/v %, 용액 100 mL 중의 성분용량 (mL), 또는 기체 100 mL 중의 성분용량 (mL)을 표시할 때는 v/v %, 용액 100 g",100,mL
ES 04000.e 총칙.pdf,ES 04000,"100 mL 중의 성분무게(g)를 표시할 때는 w/v %, 용액 100 mL 중의 성분용량","2.2.1 백분율 (parts per hundred)은 용액 100 mL 중의 성분무게 (g), 또는 기체 100 mL 중의 성분무게(g)를 표시할 때는 w/v %, 용액 100 mL 중의 성분용량 (mL), 또는 기체 100 mL 중의 성분용량 (mL)을 표시할 때는 v/v %, 용액 100 g",100,mL
ES 04000.e 총칙.pdf,ES 04000,"(mL), 또는 기체 100 mL 중의 성분용량 (mL)을 표시할 때는 v/v %, 용액 100 g","100 mL 중의 성분무게(g)를 표시할 때는 w/v %, 용액 100 mL 중의 성분용량 (mL), 또는 기체 100 mL 중의 성분용량 (mL)을 표시할 때는 v/v %, 용액 100 g 중 성분용량 (mL)을 표시할 때는 v/w %, 용액 100 g 중 성분무게 (g)를 표시할",100,mL
ES 04000.e 총칙.pdf,ES 04000,"(mL), 또는 기체 100 mL 중의 성분용량 (mL)을 표시할 때는 v/v %, 용액 100 g","100 mL 중의 성분무게(g)를 표시할 때는 w/v %, 용액 100 mL 중의 성분용량 (mL), 또는 기체 100 mL 중의 성분용량 (mL)을 표시할 때는 v/v %, 용액 100 g 중 성분용량 (mL)을 표시할 때는 v/w %, 용액 100 g 중 성분무게 (g)를 표시할",100,g
ES 04000.e 총칙.pdf,ES 04000,"중 성분용량 (mL)을 표시할 때는 v/w %, 용액 100 g 중 성분무게 (g)를 표시할","(mL), 또는 기체 100 mL 중의 성분용량 (mL)을 표시할 때는 v/v %, 용액 100 g 중 성분용량 (mL)을 표시할 때는 v/w %, 용액 100 g 중 성분무게 (g)를 표시할 때는 w/w %의 기호를 쓴다. 다만, 용액의 농도를 “%”로만 표시할 때는 w/v %를 말",100,g
ES 04000.e 총칙.pdf,ES 04000,"성분에 있어서는 1 g, 액체성분에 있어서는 1 mL를 용매에 녹여 전체 양을 10 mL,","4.2.3 용액의 농도를 (1→10), (1→100) 또는 (1→1 000) 등으로 표시하는 것은 고체 성분에 있어서는 1 g, 액체성분에 있어서는 1 mL를 용매에 녹여 전체 양을 10 mL, 100 mL 또는 1 000 mL로 하는 비율을 표시한 것이다.",1,g
ES 04000.e 총칙.pdf,ES 04000,"성분에 있어서는 1 g, 액체성분에 있어서는 1 mL를 용매에 녹여 전체 양을 10 mL,","4.2.3 용액의 농도를 (1→10), (1→100) 또는 (1→1 000) 등으로 표시하는 것은 고체 성분에 있어서는 1 g, 액체성분에 있어서는 1 mL를 용매에 녹여 전체 양을 10 mL, 100 mL 또는 1 000 mL로 하는 비율을 표시한 것이다.",10,mL
ES 04000.e 총칙.pdf,ES 04000,100 mL 또는 1 000 mL로 하는 비율을 표시한 것이다.,"성분에 있어서는 1 g, 액체성분에 있어서는 1 mL를 용매에 녹여 전체 양을 10 mL, 100 mL 또는 1 000 mL로 하는 비율을 표시한 것이다. 4.2.4  액체 시약의 농도에 있어서 예를 들어 염산(1 + 2)이라고 되어있을 때에는",100,mL
ES 04000.e 총칙.pdf,ES 04000,"6.5 방울수라 함은 20 ℃에서 정제수 20 방울을 적하할 때, 그 부피가 약 1 mL 되","값에서 빼는 것을 뜻한다. 6.5 방울수라 함은 20 ℃에서 정제수 20 방울을 적하할 때, 그 부피가 약 1 mL 되 는 것을 뜻한다.",1,mL
ES 04000.e 총칙.pdf,ES 04000,후 무게의 차가 g당 0.3 mg 이하일 때를 말한다.,"6.6 “항량으로 될 때까지 건조한다”라 함은 같은 조건에서 1 시간 더 건조할 때 전 후 무게의 차가 g당 0.3 mg 이하일 때를 말한다. 6.7 용액의 산성, 중성, 또는 알칼리성을 검사할 때는 따로 규정이 없는 한 유리전",0.3,mg
ES 04000.e 총칙.pdf,ES 04000,종 A(거름시간 70 s/100 mL 이하) 또는 이와 동등한 여과지를 사용하여 여과함을,6.13 여과용 기구 및 기기를 기재하지 않고 “여과한다”라고 하는 것은 거름종이 5 종 A(거름시간 70 s/100 mL 이하) 또는 이와 동등한 여과지를 사용하여 여과함을 말한다.,100,mL
ES 04130.1f 시료의 채취 및 보존 방법.pdf,ES 04130,3.3 시료채취량은 시험항목 및 시험횟수에 따라 차이가 있으나 보통 3 L ～ 5 L정,"접촉하는 시간을 짧게 하여 채취한다. 3.3 시료채취량은 시험항목 및 시험횟수에 따라 차이가 있으나 보통 3 L ～ 5 L정 도이어야 한다. 다만, 시료를 가능한 한 빨리 시험할 수 없어 보존하여야 할 경우",3,L
ES 04130.1f 시료의 채취 및 보존 방법.pdf,ES 04130,3.6 현장에서 용존산소 측정이 어려운 경우에는 시료를 가득 채운 300 mL BOD병,[주 2] 병을 뒤집어 공기방울이 확인되면 다시 채취해야 한다. 3.6 현장에서 용존산소 측정이 어려운 경우에는 시료를 가득 채운 300 mL BOD병 에 황산망간 용액 1 mL와 알칼리성 요오드화포타슘-아자이드화소듐 용액 1 mL를,300,mL
ES 04130.1f 시료의 채취 및 보존 방법.pdf,ES 04130,3.13 저농도 수은(0.0002 mg/L 이하) 시료를 채취하기 위한 시료 용기는 채취 전,"씻은 후 사용하며, 시료채취 시 시료병의 2/3를 채운다. 3.13 저농도 수은(0.0002 mg/L 이하) 시료를 채취하기 위한 시료 용기는 채취 전 에 미리 다음과 같이 준비한다. 우선 염산용액(4 M)이나 진한질산을 채워 내산성플",0.0002,mg
ES 04130.1f 시료의 채취 및 보존 방법.pdf,ES 04130,시료 1 L 당 CuSO4 1 g 첨가,28일 시료 1 L 당 CuSO4 1 g 첨가 황산이온,1,L
ES 04130.1f 시료의 채취 및 보존 방법.pdf,ES 04130,시료 1 L 당 CuSO4 1 g 첨가,28일 시료 1 L 당 CuSO4 1 g 첨가 황산이온,1,g
ES 04130.1f 시료의 채취 및 보존 방법.pdf,ES 04130,수은(0.2 μg/L 이하),"6개월 수은(0.2 μg/L 이하) P, G",0.2,μg
ES 04130.1f 시료의 채취 및 보존 방법.pdf,ES 04130,1 L 당 HCl(12 M) 5 mL 첨가 28일,(실온에서 보관 가능) 1 L 당 HCl(12 M) 5 mL 첨가 28일 6가 크롬,1,L
ES 04130.1f 시료의 채취 및 보존 방법.pdf,ES 04130,1 L 당 HCl(12 M) 5 mL 첨가 28일,(실온에서 보관 가능) 1 L 당 HCl(12 M) 5 mL 첨가 28일 6가 크롬,5,mL
ES 04130.1f 시료의 채취 및 보존 방법.pdf,ES 04130,HNO3 2 mL/L,- HNO3 2 mL/L 24시간,2,mL
ES 04130.1f 시료의 채취 및 보존 방법.pdf,ES 04130,5.3 시안 분석용 시료에 잔류염소가 공존할 경우 시료 1 L 당 아스코빈산 1 g을,"한다. 5.3 시안 분석용 시료에 잔류염소가 공존할 경우 시료 1 L 당 아스코빈산 1 g을 첨가고, 산화제가 공존할 경우에는 시안을 파괴할 수 있으므로 채수 즉시 이산화비",1,L
ES 04130.1f 시료의 채취 및 보존 방법.pdf,ES 04130,소산소듐 또는 티오황산소듐을 시료 1 L 당 0.6 g을 첨가한다.,"첨가고, 산화제가 공존할 경우에는 시안을 파괴할 수 있으므로 채수 즉시 이산화비 소산소듐 또는 티오황산소듐을 시료 1 L 당 0.6 g을 첨가한다. 5.4 암모니아성 질소 분석용 시료에 잔류염소가 공존할 경우 증류과정에서 암모니",1,L
ES 04130.1f 시료의 채취 및 보존 방법.pdf,ES 04130,[주 8] 티오황산소듐용액(0.09 %) 1 mL를 첨가하면 시료 1 L 중 2 mg 잔류염소를,가한다. [주 8] 티오황산소듐용액(0.09 %) 1 mL를 첨가하면 시료 1 L 중 2 mg 잔류염소를 제거할 수 있다.,1,L
ES 04130.1f 시료의 채취 및 보존 방법.pdf,ES 04130,[주 8] 티오황산소듐용액(0.09 %) 1 mL를 첨가하면 시료 1 L 중 2 mg 잔류염소를,가한다. [주 8] 티오황산소듐용액(0.09 %) 1 mL를 첨가하면 시료 1 L 중 2 mg 잔류염소를 제거할 수 있다.,2,mg
ES 04130.1f 시료의 채취 및 보존 방법.pdf,ES 04130,질산(1 + 1) 5 mL 까지 늘려야 한다.,"할 수 있으며, 시료가 알칼리화되어 있거나 완충효과가 있다면 첨가하는 산의 양을 질산(1 + 1) 5 mL 까지 늘려야 한다. 5.7 저농도 수은(0.0002 mg/L 이하) 분석용 시료는 보관기간 동안 수은이 시료 중",5,mL
ES 04130.1f 시료의 채취 및 보존 방법.pdf,ES 04130,5.7 저농도 수은(0.0002 mg/L 이하) 분석용 시료는 보관기간 동안 수은이 시료 중,질산(1 + 1) 5 mL 까지 늘려야 한다. 5.7 저농도 수은(0.0002 mg/L 이하) 분석용 시료는 보관기간 동안 수은이 시료 중 -  12  -,0.0002,mg
ES 04130.1f 시료의 채취 및 보존 방법.pdf,ES 04130,5.8 다이에틸헥실프탈레이트 분석용 시료에 잔류염소가 공존할 경우 시료 1 L 당,(0.1 N)을 분석하기 24시간 전에 첨가한다. 5.8 다이에틸헥실프탈레이트 분석용 시료에 잔류염소가 공존할 경우 시료 1 L 당 티오황산소듐을 80 mg 첨가한다.,1,L
ES 04130.1f 시료의 채취 및 보존 방법.pdf,ES 04130,티오황산소듐을 80 mg 첨가한다.,"5.8 다이에틸헥실프탈레이트 분석용 시료에 잔류염소가 공존할 경우 시료 1 L 당 티오황산소듐을 80 mg 첨가한다. 5.9 1,4-다이옥산, 염화비닐, 아크릴로니트릴 및 브로모폼 분석용 시료에 잔류염소가",80,mg
ES 04130.1f 시료의 채취 및 보존 방법.pdf,ES 04130,공존할 경우 시료 40 mL(잔류염소 농도 5 mg/L 이하) 당 티오황산소듐 3 mg 또는,"5.9 1,4-다이옥산, 염화비닐, 아크릴로니트릴 및 브로모폼 분석용 시료에 잔류염소가 공존할 경우 시료 40 mL(잔류염소 농도 5 mg/L 이하) 당 티오황산소듐 3 mg 또는 아스코빈산 25 mg을 첨가하거나 시료 1 L 당 염화암모늄 10 mg을 첨가한다.",40,mL
ES 04130.1f 시료의 채취 및 보존 방법.pdf,ES 04130,공존할 경우 시료 40 mL(잔류염소 농도 5 mg/L 이하) 당 티오황산소듐 3 mg 또는,"5.9 1,4-다이옥산, 염화비닐, 아크릴로니트릴 및 브로모폼 분석용 시료에 잔류염소가 공존할 경우 시료 40 mL(잔류염소 농도 5 mg/L 이하) 당 티오황산소듐 3 mg 또는 아스코빈산 25 mg을 첨가하거나 시료 1 L 당 염화암모늄 10 mg을 첨가한다.",5,mg
ES 04130.1f 시료의 채취 및 보존 방법.pdf,ES 04130,공존할 경우 시료 40 mL(잔류염소 농도 5 mg/L 이하) 당 티오황산소듐 3 mg 또는,"5.9 1,4-다이옥산, 염화비닐, 아크릴로니트릴 및 브로모폼 분석용 시료에 잔류염소가 공존할 경우 시료 40 mL(잔류염소 농도 5 mg/L 이하) 당 티오황산소듐 3 mg 또는 아스코빈산 25 mg을 첨가하거나 시료 1 L 당 염화암모늄 10 mg을 첨가한다.",3,mg
ES 04130.1f 시료의 채취 및 보존 방법.pdf,ES 04130,아스코빈산 25 mg을 첨가하거나 시료 1 L 당 염화암모늄 10 mg을 첨가한다.,공존할 경우 시료 40 mL(잔류염소 농도 5 mg/L 이하) 당 티오황산소듐 3 mg 또는 아스코빈산 25 mg을 첨가하거나 시료 1 L 당 염화암모늄 10 mg을 첨가한다. 5.10 휘발성유기화합물 분석용 시료에 잔류염소가 공존할 경우 시료 1 L 당 아스,1,L
ES 04130.1f 시료의 채취 및 보존 방법.pdf,ES 04130,5.10 휘발성유기화합물 분석용 시료에 잔류염소가 공존할 경우 시료 1 L 당 아스,아스코빈산 25 mg을 첨가하거나 시료 1 L 당 염화암모늄 10 mg을 첨가한다. 5.10 휘발성유기화합물 분석용 시료에 잔류염소가 공존할 경우 시료 1 L 당 아스 코빈산 1 g을 첨가한다.,1,L
ES 04130.1f 시료의 채취 및 보존 방법.pdf,ES 04130,염소가 존재하는 경우 잔류염소 제거를 위한 시약은 잔류염소 4 mg/L 이하인 시료,"5.12 미생물(총대장균군, 분원성대장균군, 대장균, 식물성 플랑크톤) 분석 시, 잔류 염소가 존재하는 경우 잔류염소 제거를 위한 시약은 잔류염소 4 mg/L 이하인 시료 1 L 기준으로 멸균한 티오황산나트륨 용액 (80 g/L) 1 mL 에 준하는 양을 첨가하",4,mg
ES 04130.1f 시료의 채취 및 보존 방법.pdf,ES 04130,1 L 기준으로 멸균한 티오황산나트륨 용액 (80 g/L) 1 mL 에 준하는 양을 첨가하,"염소가 존재하는 경우 잔류염소 제거를 위한 시약은 잔류염소 4 mg/L 이하인 시료 1 L 기준으로 멸균한 티오황산나트륨 용액 (80 g/L) 1 mL 에 준하는 양을 첨가하 며, 잔류염소 농도에 따라 첨가량을 조절한다.",1,L
ES 04130.1f 시료의 채취 및 보존 방법.pdf,ES 04130,1 L 기준으로 멸균한 티오황산나트륨 용액 (80 g/L) 1 mL 에 준하는 양을 첨가하,"염소가 존재하는 경우 잔류염소 제거를 위한 시약은 잔류염소 4 mg/L 이하인 시료 1 L 기준으로 멸균한 티오황산나트륨 용액 (80 g/L) 1 mL 에 준하는 양을 첨가하 며, 잔류염소 농도에 따라 첨가량을 조절한다.",80,g
ES 04130.1f 시료의 채취 및 보존 방법.pdf,ES 04130,1 L 기준으로 멸균한 티오황산나트륨 용액 (80 g/L) 1 mL 에 준하는 양을 첨가하,"염소가 존재하는 경우 잔류염소 제거를 위한 시약은 잔류염소 4 mg/L 이하인 시료 1 L 기준으로 멸균한 티오황산나트륨 용액 (80 g/L) 1 mL 에 준하는 양을 첨가하 며, 잔류염소 농도에 따라 첨가량을 조절한다.",1,mL
ES 04140.2b 공장폐수 및 하수유량-측정용 수로 및 기타 유량측정방법.pdf,ES 04140,4.3.1.2  용기는 용량 100 L ∼ 200 L인 것을 사용하여 유수를 채우는 데에 요하,4.3.1.1  유수를 용기에 받아서 측정한다. 4.3.1.2  용기는 용량 100 L ∼ 200 L인 것을 사용하여 유수를 채우는 데에 요하 는 시간을 스톱워치 (stop watch)로 잰다. 용기에 물을 받아 넣는 시간을 20초 이상,100,L
ES 04150.1c 시료의 전처리 방법.pdf,ES 04150,"250 mL, 500 mL, 1 000 mL 등 용도에 맞는 것을 사용하며 폴리테트라플루오로에틸렌","3.4 분별깔때기 250 mL, 500 mL, 1 000 mL 등 용도에 맞는 것을 사용하며 폴리테트라플루오로에틸렌 (PTFE, polytetrafluoroethylene) 마개가 있는 것을 사용한다.",250,mL
ES 04150.1c 시료의 전처리 방법.pdf,ES 04150,"250 mL, 500 mL, 1 000 mL 등 용도에 맞는 것을 사용하며 폴리테트라플루오로에틸렌","3.4 분별깔때기 250 mL, 500 mL, 1 000 mL 등 용도에 맞는 것을 사용하며 폴리테트라플루오로에틸렌 (PTFE, polytetrafluoroethylene) 마개가 있는 것을 사용한다.",500,mL
ES 04150.1c 시료의 전처리 방법.pdf,ES 04150,"250 mL, 500 mL, 1 000 mL 등 용도에 맞는 것을 사용하며 폴리테트라플루오로에틸렌","3.4 분별깔때기 250 mL, 500 mL, 1 000 mL 등 용도에 맞는 것을 사용하며 폴리테트라플루오로에틸렌 (PTFE, polytetrafluoroethylene) 마개가 있는 것을 사용한다.",000,mL
ES 04150.1c 시료의 전처리 방법.pdf,ES 04150,"250 mL, 500 mL, 1 000 mL 등을 용도에 맞게 사용하며, 내열 및 내산, 내알칼리성","ES 04150.1c 250 mL, 500 mL, 1 000 mL 등을 용도에 맞게 사용하며, 내열 및 내산, 내알칼리성 을 가진 유리 또는 폴리테트라플루오로에틸렌 (PTFE, polytetrafluoroethylene) 제품",250,mL
ES 04150.1c 시료의 전처리 방법.pdf,ES 04150,"250 mL, 500 mL, 1 000 mL 등을 용도에 맞게 사용하며, 내열 및 내산, 내알칼리성","ES 04150.1c 250 mL, 500 mL, 1 000 mL 등을 용도에 맞게 사용하며, 내열 및 내산, 내알칼리성 을 가진 유리 또는 폴리테트라플루오로에틸렌 (PTFE, polytetrafluoroethylene) 제품",500,mL
ES 04150.1c 시료의 전처리 방법.pdf,ES 04150,"250 mL, 500 mL, 1 000 mL 등을 용도에 맞게 사용하며, 내열 및 내산, 내알칼리성","ES 04150.1c 250 mL, 500 mL, 1 000 mL 등을 용도에 맞게 사용하며, 내열 및 내산, 내알칼리성 을 가진 유리 또는 폴리테트라플루오로에틸렌 (PTFE, polytetrafluoroethylene) 제품",000,mL
ES 04150.1c 시료의 전처리 방법.pdf,ES 04150,7.2.1.2  시료 적당량(100 mL ∼ 500 mL)을 취하여 플라스크 또는 비커에 넣고,7.2.1.1 이 방법은 유기함량이 비교적 높지 않은 시료의 전처리에 사용한다. 7.2.1.2  시료 적당량(100 mL ∼ 500 mL)을 취하여 플라스크 또는 비커에 넣고 100 mL 당 질산 5 mL와 끓임쪽 4개 ∼ 5개를 넣은 다음 서서히 가열하여 액량이,100,mL
ES 04150.1c 시료의 전처리 방법.pdf,ES 04150,7.2.1.2  시료 적당량(100 mL ∼ 500 mL)을 취하여 플라스크 또는 비커에 넣고,7.2.1.1 이 방법은 유기함량이 비교적 높지 않은 시료의 전처리에 사용한다. 7.2.1.2  시료 적당량(100 mL ∼ 500 mL)을 취하여 플라스크 또는 비커에 넣고 100 mL 당 질산 5 mL와 끓임쪽 4개 ∼ 5개를 넣은 다음 서서히 가열하여 액량이,500,mL
ES 04150.1c 시료의 전처리 방법.pdf,ES 04150,100 mL 당 질산 5 mL와 끓임쪽 4개 ∼ 5개를 넣은 다음 서서히 가열하여 액량이,7.2.1.2  시료 적당량(100 mL ∼ 500 mL)을 취하여 플라스크 또는 비커에 넣고 100 mL 당 질산 5 mL와 끓임쪽 4개 ∼ 5개를 넣은 다음 서서히 가열하여 액량이 10 mL ∼ 20 mL가 될 때까지 증발농축하고 방랭한다. 시료색이 맑아질 때까지 질,100,mL
ES 04150.1c 시료의 전처리 방법.pdf,ES 04150,10 mL ∼ 20 mL가 될 때까지 증발농축하고 방랭한다. 시료색이 맑아질 때까지 질,"100 mL 당 질산 5 mL와 끓임쪽 4개 ∼ 5개를 넣은 다음 서서히 가열하여 액량이 10 mL ∼ 20 mL가 될 때까지 증발농축하고 방랭한다. 시료색이 맑아질 때까지 질 산을 추가하여 증발 농축하는 과정을 반복한다. 이 때, 시료가 완전히 건조되지 않",10,mL
ES 04150.1c 시료의 전처리 방법.pdf,ES 04150,100 mL 부피플라스크에 넣어 정확히 100 mL로 한다.,7.2.1.3  거름종이로 걸러내어 정제수로 2회 ∼ 3회 씻어주고 여과액과 씻은 액을 100 mL 부피플라스크에 넣어 정확히 100 mL로 한다. [주 2] 반드시 거를 필요는 없으나 가능한 한 권장한다.,100,mL
ES 04150.1c 시료의 전처리 방법.pdf,ES 04150,7.2.2.2 시료 적당량(100 mL ∼ 500 mL)을 취하여 비커에 넣고 시료 100 mL 당,하는 금속 물질의 분석에는 주의한다. 7.2.2.2 시료 적당량(100 mL ∼ 500 mL)을 취하여 비커에 넣고 시료 100 mL 당 질산 3 mL와 끓임쪽 4개 ∼ 5개를 넣은 다음 서서히 가열하여 액량이 약 5 mL가,100,mL
ES 04150.1c 시료의 전처리 방법.pdf,ES 04150,7.2.2.2 시료 적당량(100 mL ∼ 500 mL)을 취하여 비커에 넣고 시료 100 mL 당,하는 금속 물질의 분석에는 주의한다. 7.2.2.2 시료 적당량(100 mL ∼ 500 mL)을 취하여 비커에 넣고 시료 100 mL 당 질산 3 mL와 끓임쪽 4개 ∼ 5개를 넣은 다음 서서히 가열하여 액량이 약 5 mL가,500,mL
ES 04150.1c 시료의 전처리 방법.pdf,ES 04150,7.2.2.2 시료 적당량(100 mL ∼ 500 mL)을 취하여 비커에 넣고 시료 100 mL 당,하는 금속 물질의 분석에는 주의한다. 7.2.2.2 시료 적당량(100 mL ∼ 500 mL)을 취하여 비커에 넣고 시료 100 mL 당 질산 3 mL와 끓임쪽 4개 ∼ 5개를 넣은 다음 서서히 가열하여 액량이 약 5 mL가,100,mL
ES 04150.1c 시료의 전처리 방법.pdf,ES 04150,열하여 액이 거의 마를 때까지 증발농축하고 방랭한다. 여기에 염산 (1 + 1) 10 mL,7.2.2.3 다시 진한질산 5 mL를 넣고 시계접시로 비커를 덮은 상태에서 서서히 가 열하여 액이 거의 마를 때까지 증발농축하고 방랭한다. 여기에 염산 (1 + 1) 10 mL 와 정제수 15 mL를 넣고 약 15분간 가열하여 잔류물을 녹인 다음 시계접시와 비커,10,mL
ES 04150.1c 시료의 전처리 방법.pdf,ES 04150,7.2.3.2 시료 적당량(100 mL ∼ 500 mL)을 취하여 비커 또는 킬달플라스크에 넣,속성분을 흡착하므로 주의한다. 7.2.3.2 시료 적당량(100 mL ∼ 500 mL)을 취하여 비커 또는 킬달플라스크에 넣 고 여기에 시료 100 mL 당 질산 5 mL와 끓임쪽 4개 ∼ 5개를 넣은 다음 서서히,100,mL
ES 04150.1c 시료의 전처리 방법.pdf,ES 04150,7.2.3.2 시료 적당량(100 mL ∼ 500 mL)을 취하여 비커 또는 킬달플라스크에 넣,속성분을 흡착하므로 주의한다. 7.2.3.2 시료 적당량(100 mL ∼ 500 mL)을 취하여 비커 또는 킬달플라스크에 넣 고 여기에 시료 100 mL 당 질산 5 mL와 끓임쪽 4개 ∼ 5개를 넣은 다음 서서히,500,mL
ES 04150.1c 시료의 전처리 방법.pdf,ES 04150,고 여기에 시료 100 mL 당 질산 5 mL와 끓임쪽 4개 ∼ 5개를 넣은 다음 서서히,7.2.3.2 시료 적당량(100 mL ∼ 500 mL)을 취하여 비커 또는 킬달플라스크에 넣 고 여기에 시료 100 mL 당 질산 5 mL와 끓임쪽 4개 ∼ 5개를 넣은 다음 서서히 가열하여 액량이 15 mL ∼ 20 mL가 될 때까지 증발농축하고 방랭한다.,100,mL
ES 04150.1c 시료의 전처리 방법.pdf,ES 04150,가열하여 액량이 15 mL ∼ 20 mL가 될 때까지 증발농축하고 방랭한다.,고 여기에 시료 100 mL 당 질산 5 mL와 끓임쪽 4개 ∼ 5개를 넣은 다음 서서히 가열하여 액량이 15 mL ∼ 20 mL가 될 때까지 증발농축하고 방랭한다. 7.2.3.3 질산 5 mL를 넣고 서서히 가열하고 방랭한다.,15,mL
ES 04150.1c 시료의 전처리 방법.pdf,ES 04150,7.2.4.2 시료 적당량(100 mL ∼ 500 mL)을 취하여 비커 또는 킬달플라스크에 넣,ES 04150.1c 7.2.4.2 시료 적당량(100 mL ∼ 500 mL)을 취하여 비커 또는 킬달플라스크에 넣 고 여기에 시료 100 mL 당 질산 5 mL와 끓임쪽 4 개 ∼ 5 개를 넣은 다음 서서히,100,mL
ES 04150.1c 시료의 전처리 방법.pdf,ES 04150,7.2.4.2 시료 적당량(100 mL ∼ 500 mL)을 취하여 비커 또는 킬달플라스크에 넣,ES 04150.1c 7.2.4.2 시료 적당량(100 mL ∼ 500 mL)을 취하여 비커 또는 킬달플라스크에 넣 고 여기에 시료 100 mL 당 질산 5 mL와 끓임쪽 4 개 ∼ 5 개를 넣은 다음 서서히,500,mL
ES 04150.1c 시료의 전처리 방법.pdf,ES 04150,고 여기에 시료 100 mL 당 질산 5 mL와 끓임쪽 4 개 ∼ 5 개를 넣은 다음 서서히,7.2.4.2 시료 적당량(100 mL ∼ 500 mL)을 취하여 비커 또는 킬달플라스크에 넣 고 여기에 시료 100 mL 당 질산 5 mL와 끓임쪽 4 개 ∼ 5 개를 넣은 다음 서서히 가열하여 액량이 15 mL ∼ 20 mL가 될 때까지 증발농축하고 방랭한다.,100,mL
ES 04150.1c 시료의 전처리 방법.pdf,ES 04150,가열하여 액량이 15 mL ∼ 20 mL가 될 때까지 증발농축하고 방랭한다.,고 여기에 시료 100 mL 당 질산 5 mL와 끓임쪽 4 개 ∼ 5 개를 넣은 다음 서서히 가열하여 액량이 15 mL ∼ 20 mL가 될 때까지 증발농축하고 방랭한다. 7.2.4.3 질산 5 mL를 넣고 가열 후 방랭한다.,15,mL
ES 04150.1c 시료의 전처리 방법.pdf,ES 04150,당량 (100 mL ～ 500 mL)를 취하여 비커에 넣고 여기에 유리구 4 개 ～ 5 개를,7.2.5.1 이 방법은 다량의 점토질 또는 규산염을 함유한 시료에 적용된다. 시료 적 당량 (100 mL ～ 500 mL)를 취하여 비커에 넣고 여기에 유리구 4 개 ～ 5 개를 넣은 다음 서서히 가열하여 액량이 약 15 mL가 될 때까지 증발 농축하고 방랭한,100,mL
ES 04150.1c 시료의 전처리 방법.pdf,ES 04150,당량 (100 mL ～ 500 mL)를 취하여 비커에 넣고 여기에 유리구 4 개 ～ 5 개를,7.2.5.1 이 방법은 다량의 점토질 또는 규산염을 함유한 시료에 적용된다. 시료 적 당량 (100 mL ～ 500 mL)를 취하여 비커에 넣고 여기에 유리구 4 개 ～ 5 개를 넣은 다음 서서히 가열하여 액량이 약 15 mL가 될 때까지 증발 농축하고 방랭한,500,mL
ES 04150.1c 시료의 전처리 방법.pdf,ES 04150,"7.4.2 시료 적당량(100 mL ～ 500 mL)을 취하여 백금, 실리카 또는 자제증발접시","납, 철, 주석, 아연, 안티몬 등이 휘산되어 손실을 가져오므로 주의하여야 한다. 7.4.2 시료 적당량(100 mL ～ 500 mL)을 취하여 백금, 실리카 또는 자제증발접시 에 넣고 물중탕 또는 열판에서 가열하여 액이 마를 때까지 증발시킨다. 용기를 회",100,mL
ES 04150.1c 시료의 전처리 방법.pdf,ES 04150,"7.4.2 시료 적당량(100 mL ～ 500 mL)을 취하여 백금, 실리카 또는 자제증발접시","납, 철, 주석, 아연, 안티몬 등이 휘산되어 손실을 가져오므로 주의하여야 한다. 7.4.2 시료 적당량(100 mL ～ 500 mL)을 취하여 백금, 실리카 또는 자제증발접시 에 넣고 물중탕 또는 열판에서 가열하여 액이 마를 때까지 증발시킨다. 용기를 회",500,mL
ES 04150.1c 시료의 전처리 방법.pdf,ES 04150,7.5.1.2  시료 500 mL (또는 산분해한 시료 일정량)를 분별깔때기에 넣고 지시약으,해야 한다. 7.5.1.2  시료 500 mL (또는 산분해한 시료 일정량)를 분별깔때기에 넣고 지시약으 로 브로모페놀블루․에틸알코올용액(0.1 ％) 2방울 ∼ 3방울을 넣고 청색이 지속될,500,mL
ES 04150.1c 시료의 전처리 방법.pdf,ES 04150,메틸아이소부틸케톤은 10 mL ∼ 20 mL 범위에서 정확한 부피를 넣어 약 2분간 세,7.5.1.3  피로리딘다이티오카르바민산암모늄용액(2 ％) 5 mL를 넣어 흔들어 섞고 메틸아이소부틸케톤은 10 mL ∼ 20 mL 범위에서 정확한 부피를 넣어 약 2분간 세 게 흔들어 섞는다. 정치한 다음 메틸아이소부틸케톤층을 분리하여 분석용 시료로,10,mL
