Batch Data Path,D:\DATA\2026년\1. 2026년 1월\VOC10(PL 12.30)\QuantResults\VOC10.batch.bin
Analysis Time,2026-01-02 오후 1:22:15,Analyst Name,DESKTOP-N82KMQD\수질분석센터 GC2,Report Generator Name,DESKTOP-N82KMQD\수질분석센터 GC2
Calibration Last Update,2026-01-02 오후 1:22:15,Analyze Quant Version,10.2,Report Quant Version,10.2
"1,1-DCE"
Data File,,Type,RT,,Resp.,,ISTD Resp,,Final Conc.
VOC10 ST-01.D,,Cal,4.991,,8628,,1737,,0.016
VOC10 ST-02.D,,Cal,4.996,,12978,,1607,,0.022
VOC10 ST-03.D,,Cal,4.991,,34841,,1277,,0.055
VOC10 ST-04.D,,Cal,4.996,,55140,,1265,,0.083
VOC10 ST-05.D,,Cal,4.991,,115765,,1258,,0.168
VOC10 ST-06.D,,Cal,4.996,,264526,,1162,,0.403
BK-.D,,Blank,,,,,1373,,ND
FBK(PL 25-12-30).D,,Blank,,,,,1902,,ND
PL-01.D,,Sample,,,,,1638,,ND
PL-02.D,,Sample,,,,,1683,,ND
MBK.D,,Blank,,,,,1552,,ND
CCV.D,,QC,4.990,,119812,,1073,,0.202
DCM
Data File,,Type,RT,,Resp.,,ISTD Resp,,Final Conc.
VOC10 ST-01.D,,Cal,5.148,,18202,,1737,,0.011
VOC10 ST-02.D,,Cal,5.153,,17595,,1607,,0.014
VOC10 ST-03.D,,Cal,5.153,,20429,,1277,,0.050
VOC10 ST-04.D,,Cal,5.153,,30751,,1265,,0.108
VOC10 ST-05.D,,Cal,5.153,,44281,,1258,,0.185
VOC10 ST-06.D,,Cal,5.153,,77247,,1162,,0.405
BK-.D,,Blank,5.153,,8440,,1373,,0.000
FBK(PL 25-12-30).D,,Blank,5.153,,11761,,1902,,0.000
PL-01.D,,Sample,5.147,,11579,,1638,,0.000
PL-02.D,,Sample,5.153,,47474,,1683,,0.136
MBK.D,,Blank,5.148,,9090,,1552,,0.000
CCV.D,,QC,5.147,,38888,,1073,,0.192
Chloroform
Data File,,Type,RT,,Resp.,,ISTD Resp,,Final Conc.
VOC10 ST-01.D,,Cal,5.720,,5002,,1737,,0.015
VOC10 ST-02.D,,Cal,5.720,,8786,,1607,,0.023
VOC10 ST-03.D,,Cal,5.720,,19163,,1277,,0.054
VOC10 ST-04.D,,Cal,5.720,,34951,,1265,,0.095
VOC10 ST-05.D,,Cal,5.720,,68759,,1258,,0.183
VOC10 ST-06.D,,Cal,5.720,,144024,,1162,,0.409
BK-.D,,Blank,,,,,1373,,ND
FBK(PL 25-12-30).D,,Blank,,,,,1902,,ND
PL-01.D,,Sample,,,,,1638,,ND
PL-02.D,,Sample,,,,,1683,,ND
MBK.D,,Blank,,,,,1552,,ND
CCV.D,,QC,5.720,,62838,,1073,,0.196
Carbon Chloride
Data File,,Type,RT,,Resp.,,ISTD Resp,,Final Conc.
VOC10 ST-01.D,,Cal,5.922,,5257,,1737,,0.017
VOC10 ST-02.D,,Cal,5.922,,7416,,1607,,0.021
VOC10 ST-03.D,,Cal,5.922,,20674,,1277,,0.056
VOC10 ST-04.D,,Cal,5.922,,32212,,1265,,0.083
VOC10 ST-05.D,,Cal,5.922,,67473,,1258,,0.166
VOC10 ST-06.D,,Cal,5.922,,155500,,1162,,0.403
BK-.D,,Blank,,,,,1373,,ND
FBK(PL 25-12-30).D,,Blank,,,,,1902,,ND
PL-01.D,,Sample,,,,,1638,,ND
PL-02.D,,Sample,,,,,1683,,ND
MBK.D,,Blank,,,,,1552,,ND
CCV.D,,QC,5.922,,70556,,1073,,0.202
"1,2-DCE"
Data File,,Type,RT,,Resp.,,ISTD Resp,,Final Conc.
VOC10 ST-01.D,,Cal,5.986,,2222,,1737,,0.011
VOC10 ST-02.D,,Cal,5.986,,4494,,1607,,0.022
VOC10 ST-03.D,,Cal,5.987,,9322,,1277,,0.052
VOC10 ST-04.D,,Cal,5.986,,18319,,1265,,0.100
VOC10 ST-05.D,,Cal,5.986,,35711,,1258,,0.192
VOC10 ST-06.D,,Cal,5.986,,69767,,1162,,0.404
BK-.D,,Blank,,,,,1373,,ND
FBK(PL 25-12-30).D,,Blank,,,,,1902,,ND
PL-01.D,,Sample,,,,,1638,,ND
PL-02.D,,Sample,,,,,1683,,ND
MBK.D,,Blank,5.967,,0,,1552,,ND
CCV.D,,QC,5.986,,33955,,1073,,0.214
Benzene
Data File,,Type,RT,,Resp.,,ISTD Resp,,Final Conc.
VOC10 ST-01.D,,Cal,5.993,,13857,,1737,,0.015
VOC10 ST-02.D,,Cal,5.993,,23310,,1607,,0.023
VOC10 ST-03.D,,Cal,5.993,,53116,,1277,,0.056
VOC10 ST-04.D,,Cal,5.993,,92682,,1265,,0.095
VOC10 ST-05.D,,Cal,5.993,,182991,,1258,,0.183
VOC10 ST-06.D,,Cal,5.993,,382018,,1162,,0.409
BK-.D,,Blank,,,,,1373,,ND
FBK(PL 25-12-30).D,,Blank,,,,,1902,,ND
PL-01.D,,Sample,,,,,1638,,ND
PL-02.D,,Sample,,,,,1683,,ND
MBK.D,,Blank,,,,,1552,,ND
CCV.D,,QC,5.993,,163656,,1073,,0.192
TCE
Data File,,Type,RT,,Resp.,,ISTD Resp,,Final Conc.
VOC10 ST-01.D,,Cal,6.232,,3830,,1737,,0.017
VOC10 ST-02.D,,Cal,6.232,,5901,,1607,,0.024
VOC10 ST-03.D,,Cal,6.232,,14549,,1277,,0.058
VOC10 ST-04.D,,Cal,6.232,,24337,,1265,,0.092
VOC10 ST-05.D,,Cal,6.232,,48732,,1258,,0.178
VOC10 ST-06.D,,Cal,6.232,,107034,,1162,,0.412
BK-.D,,Blank,,,,,1373,,ND
FBK(PL 25-12-30).D,,Blank,,,,,1902,,ND
PL-01.D,,Sample,,,,,1638,,ND
PL-02.D,,Sample,,,,,1683,,ND
MBK.D,,Blank,,,,,1552,,ND
CCV.D,,QC,6.232,,45787,,1073,,0.195
Toluene
Data File,,Type,RT,,Resp.,,ISTD Resp,,Final Conc.
VOC10 ST-01.D,,Cal,6.851,,14225,,1737,,0.016
VOC10 ST-02.D,,Cal,6.851,,22776,,1607,,0.023
VOC10 ST-03.D,,Cal,6.851,,52769,,1277,,0.056
VOC10 ST-04.D,,Cal,6.851,,90883,,1265,,0.094
VOC10 ST-05.D,,Cal,6.851,,179678,,1258,,0.181
VOC10 ST-06.D,,Cal,6.851,,381691,,1162,,0.410
BK-.D,,Blank,,,,,1373,,ND
FBK(PL 25-12-30).D,,Blank,,,,,1902,,ND
PL-01.D,,Sample,,,,,1638,,ND
PL-02.D,,Sample,,,,,1683,,ND
MBK.D,,Blank,,,,,1552,,ND
CCV.D,,QC,6.851,,162245,,1073,,0.192
PCE
Data File,,Type,RT,,Resp.,,ISTD Resp,,Final Conc.
VOC10 ST-01.D,,Cal,7.145,,3754,,1737,,0.019
VOC10 ST-02.D,,Cal,7.145,,5373,,1607,,0.025
VOC10 ST-03.D,,Cal,7.145,,14073,,1277,,0.059
VOC10 ST-04.D,,Cal,7.145,,22442,,1265,,0.089
VOC10 ST-05.D,,Cal,7.145,,45918,,1258,,0.174
VOC10 ST-06.D,,Cal,7.145,,104548,,1162,,0.414
BK-.D,,Blank,,,,,1373,,ND
FBK(PL 25-12-30).D,,Blank,,,,,1902,,ND
PL-01.D,,Sample,,,,,1638,,ND
PL-02.D,,Sample,,,,,1683,,ND
MBK.D,,Blank,,,,,1552,,ND
CCV.D,,QC,7.150,,44517,,1073,,0.196
Xylene
Data File,,Type,RT,,Resp.,,ISTD Resp,,Final Conc.
VOC10 ST-01.D,,Cal,7.931,,16586,,1737,,0.015
VOC10 ST-02.D,,Cal,7.931,,26048,,1607,,0.021
VOC10 ST-03.D,,Cal,7.931,,61222,,1277,,0.053
VOC10 ST-04.D,,Cal,7.931,,106191,,1265,,0.089
VOC10 ST-05.D,,Cal,7.931,,211930,,1258,,0.173
VOC10 ST-06.D,,Cal,7.931,,462735,,1162,,0.402
BK-.D,,Blank,0.000,,0,,1373,,ND
FBK(PL 25-12-30).D,,Blank,0.000,,0,,1902,,ND
PL-01.D,,Sample,0.000,,0,,1638,,ND
PL-02.D,,Sample,0.000,,0,,1683,,ND
MBK.D,,Blank,0.000,,0,,1552,,ND
