Batch Data Path,D:\DATA\2026년\1. 2026년 1월\VOC10(KD 1.15)\QuantResults\VOC10.batch.bin
Analysis Time,2026-01-20 오후 1:17:20,Analyst Name,DESKTOP-N82KMQD\수질분석센터 GC2,Report Generator Name,DESKTOP-N82KMQD\수질분석센터 GC2
Calibration Last Update,2026-01-20 오후 1:17:20,Analyze Quant Version,10.2,Report Quant Version,10.2
"1,1-DCE"
Data File,,Type,RT,,Resp.,,ISTD Resp,,Final Conc.
VOC10 ST-01.D,,Cal,4.996,,13189,,2202,,0.017
VOC10 ST-02.D,,Cal,4.991,,31990,,2346,,0.026
VOC10 ST-03.D,,Cal,4.996,,81813,,2380,,0.053
VOC10 ST-04.D,,Cal,4.996,,168688,,2568,,0.093
VOC10 ST-05.D,,Cal,4.996,,380014,,2825,,0.181
VOC10 ST-06.D,,Cal,4.996,,819003,,2602,,0.411
BK-.D,,Blank,,,,,3075,,ND
FBK(KD 26-01-15).D,,Blank,,,,,3257,,ND
KD-01.D,,Sample,,,,,6558,,ND
KD-02.D,,Sample,,,,,3338,,ND
JR 26-01-19.D,,Sample,,,,,2819,,ND
MBK.D,,Blank,,,,,3618,,ND
-CCV-.D,,QC,4.996,,372515,,2975,,0.169
DCM
Data File,,Type,RT,,Resp.,,ISTD Resp,,Final Conc.
VOC10 ST-01.D,,Cal,5.153,,11728,,2202,,0.007
VOC10 ST-02.D,,Cal,5.153,,23820,,2346,,0.019
VOC10 ST-03.D,,Cal,5.153,,56550,,2380,,0.054
VOC10 ST-04.D,,Cal,5.153,,110903,,2568,,0.103
VOC10 ST-05.D,,Cal,5.153,,223092,,2825,,0.194
VOC10 ST-06.D,,Cal,5.153,,417489,,2602,,0.402
BK-.D,,Blank,5.153,,2763,,3075,,0.000
FBK(KD 26-01-15).D,,Blank,5.153,,2881,,3257,,0.000
KD-01.D,,Sample,5.153,,6081,,6558,,0.000
KD-02.D,,Sample,5.153,,3083,,3338,,0.000
JR 26-01-19.D,,Sample,5.153,,85582,,2819,,0.071
MBK.D,,Blank,5.147,,3154,,3618,,0.000
-CCV-.D,,QC,5.153,,220281,,2975,,0.182
Chloroform
Data File,,Type,RT,,Resp.,,ISTD Resp,,Final Conc.
VOC10 ST-01.D,,Cal,5.720,,19634,,2202,,0.008
VOC10 ST-02.D,,Cal,5.720,,32828,,2346,,0.020
VOC10 ST-03.D,,Cal,5.720,,66722,,2380,,0.054
VOC10 ST-04.D,,Cal,5.720,,124185,,2568,,0.102
VOC10 ST-05.D,,Cal,5.720,,243884,,2825,,0.193
VOC10 ST-06.D,,Cal,5.720,,451863,,2602,,0.402
BK-.D,,Blank,5.720,,11409,,3075,,0.000
FBK(KD 26-01-15).D,,Blank,5.720,,12328,,3257,,0.000
KD-01.D,,Sample,,,,,6558,,ND
KD-02.D,,Sample,,,,,3338,,ND
JR 26-01-19.D,,Sample,,,,,2819,,ND
MBK.D,,Blank,5.720,,14222,,3618,,0.000
-CCV-.D,,QC,5.720,,245445,,2975,,0.184
Carbon Chloride
Data File,,Type,RT,,Resp.,,ISTD Resp,,Final Conc.
VOC10 ST-01.D,,Cal,5.922,,14317,,2202,,0.013
VOC10 ST-02.D,,Cal,5.922,,34255,,2346,,0.025
VOC10 ST-03.D,,Cal,5.922,,84147,,2380,,0.054
VOC10 ST-04.D,,Cal,5.922,,166771,,2568,,0.096
VOC10 ST-05.D,,Cal,5.922,,357253,,2825,,0.183
VOC10 ST-06.D,,Cal,5.922,,741876,,2602,,0.408
BK-.D,,Blank,,,,,3075,,ND
FBK(KD 26-01-15).D,,Blank,,,,,3257,,ND
KD-01.D,,Sample,,,,,6558,,ND
KD-02.D,,Sample,,,,,3338,,ND
JR 26-01-19.D,,Sample,,,,,2819,,ND
MBK.D,,Blank,,,,,3618,,ND
-CCV-.D,,QC,5.922,,349988,,2975,,0.171
"1,2-DCE"
Data File,,Type,RT,,Resp.,,ISTD Resp,,Final Conc.
VOC10 ST-01.D,,Cal,5.986,,4525,,2202,,0.010
VOC10 ST-02.D,,Cal,5.986,,9886,,2346,,0.021
VOC10 ST-03.D,,Cal,5.987,,25456,,2380,,0.052
VOC10 ST-04.D,,Cal,5.986,,52796,,2568,,0.101
VOC10 ST-05.D,,Cal,5.986,,111338,,2825,,0.193
VOC10 ST-06.D,,Cal,5.986,,214042,,2602,,0.403
BK-.D,,Blank,,,,,3075,,ND
FBK(KD 26-01-15).D,,Blank,,,,,3257,,ND
KD-01.D,,Sample,,,,,6558,,ND
KD-02.D,,Sample,,,,,3338,,ND
JR 26-01-19.D,,Sample,,,,,2819,,ND
MBK.D,,Blank,,,,,3618,,ND
-CCV-.D,,QC,5.986,,108228,,2975,,0.178
Benzene
Data File,,Type,RT,,Resp.,,ISTD Resp,,Final Conc.
VOC10 ST-01.D,,Cal,5.999,,15540,,2202,,0.017
VOC10 ST-02.D,,Cal,5.999,,36633,,2346,,0.025
VOC10 ST-03.D,,Cal,5.999,,97880,,2380,,0.051
VOC10 ST-04.D,,Cal,5.999,,216663,,2568,,0.093
VOC10 ST-05.D,,Cal,5.999,,503740,,2825,,0.186
VOC10 ST-06.D,,Cal,5.999,,1052280,,2602,,0.408
BK-.D,,Blank,,,,,3075,,ND
FBK(KD 26-01-15).D,,Blank,,,,,3257,,ND
KD-01.D,,Sample,,,,,6558,,ND
KD-02.D,,Sample,,,,,3338,,ND
JR 26-01-19.D,,Sample,,,,,2819,,ND
MBK.D,,Blank,,,,,3618,,ND
-CCV-.D,,QC,5.999,,502102,,2975,,0.176
TCE
Data File,,Type,RT,,Resp.,,ISTD Resp,,Final Conc.
VOC10 ST-01.D,,Cal,6.238,,5321,,2202,,0.009
VOC10 ST-02.D,,Cal,6.238,,12583,,2346,,0.020
VOC10 ST-03.D,,Cal,6.238,,32505,,2380,,0.050
VOC10 ST-04.D,,Cal,6.238,,69184,,2568,,0.099
VOC10 ST-05.D,,Cal,6.238,,156334,,2825,,0.204
VOC10 ST-06.D,,Cal,6.238,,281101,,2602,,0.398
BK-.D,,Blank,,,,,3075,,ND
FBK(KD 26-01-15).D,,Blank,,,,,3257,,ND
KD-01.D,,Sample,,,,,6558,,ND
KD-02.D,,Sample,,,,,3338,,ND
JR 26-01-19.D,,Sample,,,,,2819,,ND
MBK.D,,Blank,,,,,3618,,ND
-CCV-.D,,QC,6.238,,156165,,2975,,0.193
Toluene
