Batch Data Path,D:\DATA\2026년\3. 2026년 3월\VOC10(RE 3.11)\QuantResults\VOC100.batch.bin
Analysis Time,2026-03-17 오전 9:05:25,Analyst Name,DESKTOP-N82KMQD\수질분석센터 GC2,Report Generator Name,DESKTOP-N82KMQD\수질분석센터 GC2
Calibration Last Update,2026-03-17 오전 9:05:25,Analyze Quant Version,10.2,Report Quant Version,10.2
"1,1-DCE"
Data File,,Type,RT,,Resp.,,ISTD Resp,,Final Conc.
VOC10 ST-01.D,,Cal,4.996,,9836,,3470,,0.003
VOC10 ST-02.D,,Cal,4.991,,28169,,3531,,0.017
VOC10 ST-03.D,,Cal,4.996,,69709,,3013,,0.058
VOC10 ST-04.D,,Cal,4.996,,121518,,2910,,0.109
VOC10 ST-05.D,,Cal,4.996,,251290,,3467,,0.193
VOC10 ST-06.D,,Cal,4.991,,389231,,2618,,0.401
BK-.D,,Blank,,,,,3731,,ND
FBK(RE 26-03-11).D,,Blank,,,,,3376,,ND
RE-07.D,,Sample,,,,,3722,,ND
RE-08.D,,Sample,,,,,3864,,ND
RE-17.D,,Sample,,,,,3714,,ND
RE-18.D,,Sample,,,,,3529,,ND
RE-19.D,,Sample,,,,,3198,,ND
RE-20.D,,Sample,,,,,3463,,ND
RE-21.D,,Sample,,,,,3684,,ND
RE-22.D,,Sample,,,,,3312,,ND
RE-23.D,,Sample,,,,,3325,,ND
MBK.D,,Blank,,,,,3201,,ND
-CCV-.D,,QC,4.996,,190064,,2389,,0.212
DCM
Data File,,Type,RT,,Resp.,,ISTD Resp,,Final Conc.
VOC10 ST-01.D,,Cal,5.153,,150772,,3470,,0.010
VOC10 ST-02.D,,Cal,5.148,,301498,,3531,,0.021
VOC10 ST-03.D,,Cal,5.148,,658113,,3013,,0.056
VOC10 ST-04.D,,Cal,5.153,,1113725,,2910,,0.100
VOC10 ST-05.D,,Cal,5.153,,2479132,,3467,,0.187
VOC10 ST-06.D,,Cal,5.149,,4039749,,2618,,0.406
BK-.D,,Blank,,,,,3731,,ND
FBK(RE 26-03-11).D,,Blank,,,,,3376,,ND
RE-07.D,,Sample,5.153,,0,,3722,,ND
RE-08.D,,Sample,,,,,3864,,ND
RE-17.D,,Sample,5.148,,0,,3714,,ND
RE-18.D,,Sample,,,,,3529,,ND
RE-19.D,,Sample,5.147,,379889,,3198,,0.030
RE-20.D,,Sample,,,,,3463,,ND
RE-21.D,,Sample,,,,,3684,,ND
RE-22.D,,Sample,,,,,3312,,ND
RE-23.D,,Sample,,,,,3325,,ND
MBK.D,,Blank,,,,,3201,,ND
-CCV-.D,,QC,5.153,,1999279,,2389,,0.219
Chloroform
Data File,,Type,RT,,Resp.,,ISTD Resp,,Final Conc.
VOC10 ST-01.D,,Cal,5.720,,7008,,3470,,0.009
VOC10 ST-02.D,,Cal,5.720,,16042,,3531,,0.020
VOC10 ST-03.D,,Cal,5.715,,38456,,3013,,0.054
VOC10 ST-04.D,,Cal,5.720,,68699,,2910,,0.100
VOC10 ST-05.D,,Cal,5.720,,158629,,3467,,0.195
VOC10 ST-06.D,,Cal,5.715,,247848,,2618,,0.402
BK-.D,,Blank,,,,,3731,,ND
FBK(RE 26-03-11).D,,Blank,,,,,3376,,ND
RE-07.D,,Sample,5.720,,0,,3722,,ND
RE-08.D,,Sample,,,,,3864,,ND
RE-17.D,,Sample,5.720,,0,,3714,,ND
RE-18.D,,Sample,,,,,3529,,ND
RE-19.D,,Sample,,,,,3198,,ND
RE-20.D,,Sample,5.720,,0,,3463,,ND
RE-21.D,,Sample,,,,,3684,,ND
RE-22.D,,Sample,,,,,3312,,ND
RE-23.D,,Sample,,,,,3325,,ND
MBK.D,,Blank,,,,,3201,,ND
-CCV-.D,,QC,5.720,,112170,,2389,,0.200
Carbon Chloride
Data File,,Type,RT,,Resp.,,ISTD Resp,,Final Conc.
VOC10 ST-01.D,,Cal,5.922,,8255,,3470,,0.004
VOC10 ST-02.D,,Cal,5.922,,24032,,3531,,0.018
VOC10 ST-03.D,,Cal,5.922,,60208,,3013,,0.058
VOC10 ST-04.D,,Cal,5.922,,105791,,2910,,0.107
VOC10 ST-05.D,,Cal,5.922,,222932,,3467,,0.192
VOC10 ST-06.D,,Cal,5.922,,350225,,2618,,0.402
BK-.D,,Blank,,,,,3731,,ND
FBK(RE 26-03-11).D,,Blank,,,,,3376,,ND
RE-07.D,,Sample,,,,,3722,,ND
RE-08.D,,Sample,,,,,3864,,ND
